# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_17091736_17091792	Ppp3r1 (-67499), Cnrip1 (+39946)
chr13_107955754_107955858	Kif2a (-933692), Smim15 (-88683)
chr14_47298115_47298393	Mapk1ip1l (-10311), Socs4 (+21323)
chr14_63940905_63941146	Sox7 (-2647)
chr14_26669648_26669982	Pde12 (+68)
chr16_34483463_34483585	Umps (-516486), Kalrn (+30524)
chr14_28089821_28090257	Wnt5a (-414711), Erc2 (+467597)
chr16_40303072_40303299	NONE
chr14_76586040_76586236	Serp2 (-29451), Lacc1 (+450503)
chr14_81153597_81153652	NONE
chr16_75796569_75796648	Hspa13 (-29788), Samsn1 (+112701)
chr16_75960481_75960763	Samsn1 (-51312), Nrip1 (+413205)
chr14_100573749_100574135	Klf12 (-424178), Prr30 (+626388)
chr16_75960844_75960993	Samsn1 (-51609), Nrip1 (+412908)
chr14_104336967_104337027	Ednrb (-493301), Pou4f1 (+131002)
chr16_85626091_85626161	Cyyr1 (-75709), Adamts1 (+176987)
chr16_87354394_87354564	N6amt1 (+294)
chr15_6717612_6717688	Rictor (+9269), Osmr (+157319)
chr17_3557881_3558190	Tfb1m (-323)
chr15_12791400_12791596	Pdzd2 (-198942), 6030458C11Rik (+33159)
chr15_26475050_26475115	March11 (+166019), Fbxl7 (+419966)
chr15_31224085_31224447	Dap (-48)
chr17_9975765_9975853	Pabpc6 (-306105), Qk (+343552)
chr15_34567832_34567894	Pop1 (+72559), Nipal2 (+110843)
chr17_14203711_14204063	Dact2 (-56)
chr15_39616788_39616955	Dcstamp (-129060), Rims2 (+418509)
chr15_53126082_53126157	Ext1 (+220039), Med30 (+413675)
chr17_22867249_22867486	Zfp945 (-234)
chr15_55090429_55090588	Dscc1 (-18)
chr18_73762202_73762439	Elac1 (-7842), Me2 (+53071)
chr15_72316439_72316504	Col22a1 (-282245), Kcnk9 (+229807)
chr15_74075892_74076316	Adgrb1 (-440091), Mroh5 (-236433)
chr18_81855651_81855740	Sall3 (-869118), Galr1 (+551081)
chr15_75755061_75755145	Mafa (-7181), Zc3h3 (+86812)
chr15_76656992_76657081	Kifc2 (-3604), Cyhr1 (-117)
chr18_88894381_88894465	Socs6 (-101)
chr19_5447579_5448056	Fosl1 (+115)
chr17_45304294_45304359	Runx2 (-489530), Cdc5l (+129380)
chr19_7482515_7483014	Rtn3 (+524)
chr19_11578898_11579008	Ms4a6d (+25896), Ms4a4d (+42152)
chr19_13155685_13155775	Olfr1461 (-7270), Olfr1459 (-6198)
chr15_91983203_91983284	Cntn1 (-67921), Smgc (+144916)
chr1_156874482_156874550	Angptl1 (+35954), Ralgps2 (+64871)
chr4_83623175_83623479	Ccdc171 (+97782)
chr17_87540902_87540975	Epcam (-95040), Calm2 (-94004)
chr19_43255721_43255776	Hps1 (-475773), Hpse2 (+132562)
chr16_3884471_3884695	Gm20695 (-65), Naa60 (-36)
chr4_88438754_88439091	Hacd4 (+3)
chr1_182489851_182490138	Capn2 (+27529), Trp53bp2 (+80823)
chr16_8054084_8054237	Tmem114 (+370975), Rbfox1 (+984326)
chr3_3673435_3673809	Hnf4g (+165592)
chr4_96451143_96451296	Cyp2j11 (-102558), Cyp2j8 (+56166)
chr16_9159291_9159358	1810013L24Rik (+329225), Grin2a (+835598)
chr3_7113125_7113364	1700008P02Rik (-492802), Pkia (-253425)
chr16_11322802_11322878	Snx29 (-68)
chr18_5645703_5645787	Zeb1 (+53885), Arhgap12 (+490353)
chr3_9833852_9834050	Pag1 (-272)
chr1_185641936_185641997	Slc30a10 (+187119), Lyplal1 (+475343)
chr18_8761937_8762006	Fzd8 (-450884), Wac (+892775)
chr16_12711788_12711901	Ercc4 (-397839), Shisa9 (+727264)
chr18_9449971_9450153	Ccny (+88)
chr3_20367208_20367381	Agtr1b (-118)
chr18_9865462_9865573	Gm17430 (-138848), Thoc1 (-92662)
chr1_193632876_193632934	Plxna2 (-986920), Camk1g (-262607)
chr16_13160296_13160519	Mkl2 (-96073), Ercc4 (+50724)
chr1_194354707_194354920	Camk1g (-984516), Plxna2 (-265011)
chr19_50349286_50349345	Rpl13a-ps1 (-318581), Sorcs1 (+329330)
chr18_14449837_14449908	Gm5160 (+25005), Ss18 (+233041)
chr19_51142696_51142763	Sorcs1 (-464084)
chr18_16476678_16476762	Cdh2 (+332526), Gm10036 (+643926)
chr3_31979662_31979887	Kcnmb2 (+77072), Zmat3 (+385903)
chr3_32070356_32070425	Kcnmb2 (+167688), Zmat3 (+295287)
chr2_11778175_11778332	Fbxo18 (-672), Ankrd16 (-237)
chr3_37481581_37481653	Spry1 (-158463), Spata5 (+61721)
chr4_120287817_120288149	Foxo6 (-634)
chr18_26344989_26345134	Celf4 (-591079)
chr5_127241640_127241972	Tmem132c (-2)
chr5_127632793_127632975	Glt1d1 (+622)
chr2_16683038_16683145	Plxdc2 (+326788)
chr4_123282619_123282829	Pabpc4 (-187)
chr5_129413450_129413637	Sfswap (-87677), Adgrd1 (+316794)
chr16_27388911_27389159	Ccdc50 (+166)
chr3_38484948_38485225	Ankrd50 (-243)
chr1_3901785_3901879	Xkr4 (-230334), Rp1 (+458482)
chr18_35598507_35598698	Paip2 (-46)
chr2_25552068_25552128	Edf1 (-5749), Traf2 (-5188)
chr2_29124978_29125142	Setx (+68)
chr4_127619871_127620225	Gjb5 (-261867), CK137956 (+350903)
chr18_38992919_38992998	Arhgap26 (-186)
chr4_128880660_128880924	Trim62 (-2796)
chr1_14998005_14998094	Kcnb2 (-314402), Trpa1 (-79188)
chr3_52487757_52487817	Foxo1 (+219451), Cog6 (+529450)
chr2_32586984_32587137	St6galnac4 (-34)
chr1_16619277_16619411	Ube2w (+145)
chr1_17149262_17149318	Pi15 (-452611), Gdap1 (+3928)
chr5_138441820_138442175	Zfp157 (+530)
chr3_58692464_58692604	Siah2 (-134)
chr18_41951191_41951349	Prelid2 (-76)
chr3_60123784_60124074	Mbnl1 (-377250), Sucnr1 (+42060)
chr2_35691656_35691838	Dab2ip (+69710), Ttll11 (+287877)
chr5_140473606_140473695	Chst12 (-31899), Gm4869 (+28006)
chr7_4844993_4845060	Shisa7 (-331)
chr2_36741041_36741126	Olfr348 (-43192), Olfr347 (+9182)
chr3_74642247_74642305	Bche (-933861), Zbbx (+501496)
chr3_77206665_77206750	NONE
chr2_39007802_39008051	Rpl35 (-2303), Arpc5l (-149)
chr7_7080987_7081181	Zfp954 (+40404), Aurkc (+85701)
chr18_55389105_55389179	Zfp608 (-398962)
chr1_51478192_51478469	Nabp1 (+68)
chr4_134914813_134915028	Tmem50a (+103)
chr3_86777283_86777555	Mab21l2 (-229136), Dclk2 (+143433)
chr4_135946391_135946551	Hmgcl (+23)
chr1_54736113_54736220	Pgap1 (-178485), Ankrd44 (+190220)
chr18_59678792_59678922	Gm4951 (-533223), Chsy3 (+503456)
chr2_52857451_52857576	Fmnl2 (-354)
chr3_89429998_89430438	Pygo2 (-43)
chr1_58170602_58170717	Aox4 (-39737), Aox3 (+57524)
chr4_137436571_137436793	1700013G24Rik (-16602), Cela3b (-6142)
chr3_90446545_90446849	Ints3 (-13168), Npr1 (+19169)
chr4_137913290_137913571	Eif4g3 (-80025), Ece1 (+51194)
chr18_66039612_66039808	Lman1 (-37073), Ccbe1 (+252128)
chr2_62575432_62575736	Fap (-1509)
chr7_24109988_24110078	Zfp112 (-2291)
chr3_97190612_97190692	Acp6 (+31875), Bcl9 (+36712)
chr18_68157092_68157325	Fam210a (+143124), Ldlrad4 (+223952)
chr18_68230303_68230397	Fam210a (+69983), Ldlrad4 (+297093)
chr7_27447694_27447947	Sptbn4 (-1222), Blvrb (-157)
chr6_7150963_7151026	Tac1 (-403884), Sdhaf3 (+194991)
chr1_67734389_67734445	Cps1 (+611391)
chr3_107545947_107546112	Slc6a17 (-28012), Ubl4b (+9043)
chr9_121706419_121706626	Ss18l2 (-3806), Sec22c (-1564)
chr6_10186387_10186451	NONE
chr2_71718970_71719451	Dlx2 (-172457), Itga6 (-67729)
chr9_122951019_122951131	1110059G10Rik (-75), Kif15 (+29)
chr6_24853202_24853325	Hyal5 (-4733)
chr3_114041314_114041446	Col11a1 (+10840)
chr9_123366851_123367077	Lars2 (+37)
chr2_78310773_78310853	Ube2e3 (-558234), Cwc22 (-364438)
chr3_117186916_117187051	Palmd (-217997), Plppr4 (+173892)
chr3_121723358_121723478	F3 (-119)
chr1_77447222_77447393	Epha4 (+67780)
chr3_124770338_124770708	Ndst4 (-633553), 1700003H04Rik (-189432)
chr3_125228393_125228549	1700003H04Rik (-647380), Ndst4 (-175605)
chr5_8118894_8118972	Sri (+62406), Adam22 (+249049)
chr1_84579760_84579841	Pid1 (-295156), Dner (+116420)
chr8_95609712_95609840	Prss54 (-34321), Gins3 (-23677)
chr3_128959246_128959306	Pitx2 (-254696)
chr2_98759570_98759647	Gm10800 (-92308)
chr6_40471154_40471324	Ssbp1 (-176)
chr2_100991106_100991303	Rag2 (-633513)
chr8_98014728_98014805	NONE
chr6_41768626_41768695	Kel (-64322), Olfr459 (+6516)
chr8_99987136_99987348	Cdh8 (-570771)
chr6_43336236_43336323	Nobox (-26726), Tpk1 (+329998)
chr8_105326202_105326345	Tmem208 (-80), Lrrc29 (+2)
chr3_131214166_131214299	Hadh (+57868), Lef1 (+103762)
chr6_44284954_44285012	Cntnap2 (-775078), Tpk1 (-618705)
chr6_47877532_47877608	Zfp282 (+366)
chr3_134343735_134343824	Tacr3 (-485227), Cxxc4 (+107289)
chr6_49073608_49073946	Malsu1 (-18)
chr3_146707042_146707102	Samd13 (-21480), Prkacb (+74344)
chr2_121008103_121008445	Ccndbp1 (-129)
chr3_147612858_147613006	Ttll7 (+760565)
chr8_117684170_117684295	Hsd17b2 (-17671), Sdr42e1 (-12686)
chr2_125139879_125140011	Slc12a1 (-12655), Ctxn2 (+3253)
chr3_151540709_151540947	Adgrl4 (+102941), Ifi44 (+209132)
chr2_126147889_126147945	Dtwd1 (-4224), Fam227b (+4087)
chr2_127831827_127832101	Bub1 (-99)
chr3_158216004_158216070	Lrrc40 (+179375), Lrrc7 (+346184)
chr3_159653587_159653714	Wls (-186021), Rpe65 (+54476)
chr1_94278901_94279166	Pdcd1 (-226481)
chr5_57283302_57283669	Pcdh7 (-434481)
chr1_94328133_94328299	Fam174a (-985407), Pdcd1 (-275663)
chr6_55108426_55108726	Crhr2 (+24384), Gars (+70569)
chr6_56831934_56832138	Fkbp9 (-23)
chr2_132577945_132578076	Gpcpd1 (+237)
chr1_97977233_97977295	Ppip5k2 (-206853), Pam (+118368)
chr4_14103253_14103330	Runx1t1 (+351995), Slc26a7 (+518513)
chr2_137127493_137127699	Jag1 (-10952)
chr4_15945406_15945691	Decr1 (-42)
chr4_21994859_21994923	Fbxl4 (-362652), Faxc (+63560)
chr6_68318760_68318822	Tacstd2 (-782995)
chr7_75841480_75841542	Klhl25 (-6799), Akap13 (+385977)
chr7_75863276_75863377	Agbl1 (-366560), Klhl25 (+15017)
chrX_7899202_7899473	Pqbp1 (-139), Timm17b (-19)
chr5_77368210_77368304	Igfbp7 (+39783), Polr2b (+58110)
chr5_83055556_83055822	Tecrl (+299506)
chr1_130462773_130462856	Cd55 (-71)
chrX_16618333_16618478	Maoa (-1292)
chrX_92796093_92796148	Arx (-490375), Mageb18 (-196549)
chr5_92377364_92377420	Cxcl10 (-28510), Nup54 (+57827)
chr5_93045004_93045230	Sowahb (-95)
chrX_116287178_116287240	Cpxcr1 (-161735)
chr6_72806981_72807046	Tcf7l1 (-18062), Kcmf1 (+92965)
chr5_93148188_93148322	Sept11 (+54684), Ccni (+58240)
chr6_81913765_81914036	Gcfc2 (-9768)
chr6_82652343_82652692	Pole4 (+411)
chr4_45325976_45326055	Dcaf10 (-16085), Exosc3 (-5387)
chrX_153139617_153139923	Rragb (-211)
chr5_100500576_100500811	Lin54 (-2116)
chrX_156596080_156596136	Phex (+819178), Gm15155 (+971333)
chr4_47161345_47161655	Col15a1 (-46661), Galnt12 (+69591)
chr5_101827506_101827701	Cds1 (+62474), Wdfy3 (+242317)
chr7_100582845_100582967	Mrpl48 (+196)
chrX_169633657_169633811	Hccs (-313440), 4933400A11Rik (+145901)
chr4_56230436_56230652	Klf4 (-698078), Actl7b (+510899)
chr5_105495186_105495498	Lrrc8c (-24046), Lrrc8b (+79567)
chr9_11191416_11191817	Cntn5 (-286842)
chr7_105456575_105456643	Cavin3 (+25691), Cckbr (+30878)
chr5_106375020_106375098	Barhl2 (+83107), Zfp326 (+498491)
chr6_90988715_90988983	Iqsec1 (-178726), Nup210 (+127980)
chr5_107437851_107438133	A830010M20Rik (-59753), Lpcat2b (+6443)
chr9_18291723_18291980	Chordc1 (-273)
chr9_19575434_19575502	Olfr854 (-8086), Olfr855 (-7149)
chr4_72028083_72028151	Gm11232 (-270152), Tle1 (+172740)
chr5_110176695_110177072	Golga3 (+5)
chr9_21320483_21320792	Slc44a2 (-17190), Ap1m2 (-8301)
chr9_22070901_22071031	Zfp653 (+375)
chr9_22467685_22467851	Rp9 (+580)
chr10_13641829_13642309	Pex3 (-88930), Aig1 (+226888)
chr6_104117032_104117374	Cntn6 (-375719), Chl1 (+606135)
chr10_17494021_17494354	Cited2 (-229045)
chr7_119356352_119356542	Gpr139 (-171844), Gp2 (+102838)
chr7_119794131_119794326	Eri2 (-171), Rexo5 (+223)
chr9_31361655_31361757	Nfrkb (-24486), Prdm10 (+46599)
chr5_113584591_113584703	Cmklr1 (+65779), Wscd2 (+94200)
chr7_119917812_119917908	Lyrm1 (+21999), Dnah3 (+177317)
chr7_124034996_124035147	Hs3st4 (+52203)
chr9_37402393_37402448	Robo4 (+524)
chr7_124371605_124371677	Hs3st4 (+388772)
chr9_39407914_39407974	Olfr951 (+14151), Olfr952 (+19204)
chr6_108629066_108629146	Bhlhe40 (-31523), Itpr1 (+416010)
chr6_109481824_109481952	Edem1 (+653214)
chr7_126482395_126482803	Tufm (-4762)
chr6_113306784_113307123	Brpf1 (-238)
chr6_114953168_114953246	Vgll4 (-31386), Tamm41 (+84669)
chr7_127393479_127393742	E430018J23Rik (+8)
chr10_41810044_41810525	Cep57l1 (-672), Sesn1 (+350)
chr5_116312485_116312665	Ccdc60 (-23590), Hspb8 (+110289)
chr7_130362854_130362919	Fgfr2 (-96696), Ate1 (+156693)
chr5_118155324_118155633	Fbxw8 (-15)
chr7_136236071_136236153	Mgmt (-658502), Mki67 (-519751)
chr10_43872378_43872479	Qrsl1 (+29316), Cd24a (+293260)
chr10_46819842_46820144	NONE
chr7_143842180_143842258	Gm498 (-24630), Dhcr7 (+19052)
chr9_53597992_53598052	Acat1 (+12360), Npat (+60975)
chr8_9494186_9494476	Arglu1 (-803810), Fam155a (+276830)
chr6_125876910_125876973	Ano2 (+186523), Ntf3 (+289773)
chr8_11112764_11112846	Col4a2 (-200000), Irs2 (-104347)
chr9_58805685_58805842	Rec114 (-64205), Hcn4 (-17648)
chr10_75025547_75025616	Rsph14 (+7004), Gnaz (+58405)
chr6_128630090_128630214	Clec2h (-32233), Klrb1a (-7218)
chr10_77149556_77149660	Pofut2 (-109610), Col18a1 (-35903)
chr6_132463718_132463799	Prh1 (-106050), Gm8882 (-99625)
chr10_78244704_78244776	Trappc10 (-99)
chr6_133667749_133667806	Kap (+185984), 5530400C23Rik (+375562)
chr8_25098210_25098288	Htra4 (-59287), Plekha2 (+4127)
chr10_79669662_79669866	Tpgs1 (+395)
chr6_142345524_142345622	Pyroxd1 (-81)
chr9_67840271_67840444	Vps13c (-38)
chr9_70806180_70806236	Adam10 (+127211), Lipc (+128600)
chr8_30365925_30366159	Dusp26 (-723429)
chr8_31111412_31111519	Rnf122 (-354)
chr8_40937493_40937570	Pdgfrl (+11299), Mtus1 (+196194)
chr8_43266569_43266631	Zfp42 (+40336), Triml2 (+86059)
chr8_45726316_45726580	Pdlim3 (-159013), Sorbs2 (+218530)
chr8_45726826_45726959	Pdlim3 (-158568), Sorbs2 (+218975)
chr10_95848793_95849202	Anapc15-ps (-175547), Eea1 (-91752)
chr10_104443794_104443889	Gm4340 (+249800)
chr8_60347380_60347702	Gm10283 (+155657)
chr10_109404708_109404774	Syt1 (-393766), Nav3 (+595478)
chr9_106093871_106093973	Col6a5 (-133279), Col6a4 (+2861)
chr10_117629139_117629400	Cpm (-230)
chr10_126392587_126392788	Lrig3 (+426435), Atp23 (+508660)
chr10_127324635_127324872	Arhgap9 (+1047), Gli1 (+17220)
chr10_128498760_128499033	Myl6b (-212)
chr11_5544187_5544288	Ccdc117 (-2051)
chr11_53769634_53770064	Irf1 (-165)
chr11_67455076_67455134	Gas7 (-131431), Myh13 (+133447)
chr11_69059525_69059801	Borcs6 (-54)
chr11_69409619_69409994	Tmem88 (-11573), Kdm6b (+3868)
chr11_69581355_69581766	Wrap53 (-2237), Trp53 (+1202)
chr11_69997135_69997672	Dvl2 (-3213)
chr11_72229982_72230130	Med31 (-14464), Slc13a5 (+36603)
chr11_74638427_74638622	Cluh (-10990), Ccdc92b (+18920)
chr11_77467043_77467337	Coro6 (+4779), Ankrd13b (+22488)
chr11_95075649_95075802	Pdk2 (-34372), Itga3 (+1075)
chr11_95224198_95224551	Dlx4 (-78112), Tac4 (-37154)
chr11_96007099_96007294	Igf2bp1 (-1257)
chr11_98439139_98439271	Mien1 (-214)
chr11_99493552_99493769	Krt23 (-524)
chr11_102818656_102818836	Higd1b (-17550), Gjc1 (-13845)
chr11_103132999_103133088	Hexim2 (-301)
chr11_116624306_116624482	Rhbdf2 (+2625), Aanat (+30707)
chr11_119942984_119943149	Baiap2 (+304)
chr12_3806416_3806494	Dnmt3a (-575)
chr12_17472543_17472868	Odc1 (-72088), Nol10 (+124248)
chr12_102858421_102858724	Gm20604 (-99901), Btbd7 (+19833)
chr12_108792624_108793033	Yy1 (-144)
chr13_42051645_42051881	Hivep1 (-258)
chr13_51595491_51595610	Cks2 (-49681), Shc3 (-28467)
chr13_53286015_53286310	Ror2 (-39)
chr13_54520240_54520502	Simc1 (+16592), 4833439L19Rik (+45064)
chr13_73070275_73070394	Irx4 (-190162), Irx2 (+441515)
chr13_94307130_94307355	Ap3b1 (-51717), Scamp1 (-21414)
chr14_52014278_52014504	Tmem253 (-2474)
chr14_54575582_54576061	Haus4 (-21461), Ajuba (+1839)
chr14_14702785_14703070	Slc4a7 (+649)
chr14_62761509_62761580	Ints6 (-433)
chr14_21995188_21995826	Lrmda (-24205), Zfp503 (-5906)
chr14_76504449_76504538	Serp2 (+52193), Tsc22d1 (+88907)
chr14_79480862_79481127	Elf1 (-199), Wbp4 (+273)
chr16_85085061_85085183	Atp5j (-249497), App (+88585)
chr16_85173692_85173815	App (-47)
chr14_118925325_118925530	Dzip1 (-2261)
chr17_3487941_3488253	Cldn20 (-44457), Tiam2 (+161524)
chr17_8659091_8659229	Pde10a (-142585), Gm17087 (-92291)
chr15_38542409_38542563	Atp6v1c1 (-119418), Azin1 (-23220)
chr17_24073383_24073732	Kctd5 (-73)
chr17_25115928_25116109	Ptx4 (-4741), Telo2 (-52)
chr18_75380257_75380472	Smad7 (+12836), Ctif (+317331)
chr18_75606877_75607017	Ctif (+90749), Smad7 (+239418)
chr18_76219769_76219939	Smad2 (-21726), Zbtb7c (+399676)
chr17_28232500_28232773	Ppard (-117)
chr15_71569665_71569857	Fam135b (+158077)
chr17_31386147_31386330	Pde9a (+5)
chr17_34850097_34850552	Skiv2l (-115), Nelfe (-66)
chr15_76671557_76671774	Foxh1 (-1718), Ppp1r16a (+51)
chr17_35059547_35059855	Ddah2 (+666)
chr15_78877427_78877683	Gga1 (+365)
chr19_5309135_5309260	Catsper1 (-26543), Gal3st3 (+10867)
chr19_7268020_7268183	Rcor2 (-199)
chr15_83714955_83715089	Ttll12 (-119865), Scube1 (+9999)
chr15_86034002_86034351	Celsr1 (-400)
chr1_155083541_155083676	Cacna1e (-357253), Ier5 (+16027)
chr17_56727779_56727879	Ndufa11 (+10067), Nrtn (+29701)
chr17_57122791_57122904	Tnfsf9 (+17463), Cd70 (+26929)
chr15_95863925_95864082	Arid2 (-423569), A130051J06Rik (-72362)
chr1_156559293_156559382	Abl2 (+289)
chr15_98004670_98004868	Col2a1 (-74)
chr1_168268935_168269034	Pbx1 (+162912), Lmx1a (+579428)
chr1_168269102_168269290	Pbx1 (+162701), Lmx1a (+579639)
chr15_102391301_102391394	Sp7 (-25023), Sp1 (-15032)
chr17_83100921_83101261	Pkdcc (-114201), Gm6594 (+561833)
chr1_172027356_172027508	Vangl2 (+1012), Slamf6 (+109917)
chr19_36111062_36111365	Ankrd1 (+8630), Rpp30 (+27498)
chr1_182020127_182020567	Enah (-686)
chr17_88065875_88066016	Fbxo11 (-655)
chr2_180024512_180024850	Lsm14b (-306)
chr17_88066125_88066398	Fbxo11 (-971)
chr19_45581642_45581760	Gm17018 (+21086), Fbxw4 (+78611)
chr4_100170436_100170562	Ube2u (-308350), Ror1 (+74708)
chr16_11642771_11642980	Gm9961 (-258487), Snx29 (+319968)
chr4_104109806_104110109	Dab1 (-257632), Oma1 (+796146)
chr4_107828781_107829208	Magoh (-50760), Lrp8 (+26582)
chr16_17619120_17619488	Smpd4 (-50)
chr4_116153370_116153434	Lurap1 (-8793), Tspan1 (+14198)
chr4_118465725_118466103	Mpl (-8419), Tie1 (+24147)
chr18_20625600_20625817	Ttr (-39541), Dsg2 (+67635)
chr3_35027941_35028228	Atp11b (-726049), Sox2 (+377680)
chr19_55741431_55741679	Tcf7l2 (-255)
chr4_119539425_119539665	Foxj3 (-116)
chr19_55743137_55743341	Habp2 (-544683), Tcf7l2 (+1429)
chr18_34777009_34777125	Kdm3b (+20)
chr5_128565775_128566044	Tmem132d (-132833), Fzd10 (-34934)
chr18_34860898_34861154	Egr1 (+1203), Etf1 (+70981)
chr16_28806122_28806396	Fgf12 (-361032), Mb21d2 (+123439)
chr3_41564814_41565005	Jade1 (+1541), Sclt1 (+177604)
chr2_27476241_27476341	Brd3 (-618)
chr5_135078267_135078811	Vps37d (-273)
chr4_127173384_127173774	Dlgap3 (+699)
chr5_135106700_135106978	Mlxipl (-79)
chr18_38175246_38175358	Arap3 (-177728), Pcdh1 (+34460)
chr2_29827161_29827371	Urm1 (-76)
chr2_30067121_30067211	Pkn3 (-11418), Set (+5313)
chr4_129189906_129189973	S100pbp (-398), Yars (+180)
chr7_4690521_4690694	Brsk1 (-320)
chr1_36068033_36068514	Hs6st1 (-126)
chr5_139639274_139639568	Uncx (+95927), Micall2 (+96915)
chr3_68494006_68494325	Il12a (-197258), Schip1 (+429364)
chr1_39577340_39577626	Rnf149 (-78)
chr4_133728264_133728547	Pigv (-55759), Arid1a (+25205)
chr18_54997506_54997782	Zfp608 (-7464)
chr7_16048209_16048402	Bicra (-385)
chr5_146795367_146795422	Usp12 (-389)
chr4_136247700_136248104	Tcea3 (-50)
chr7_16048481_16048575	Bicra (-607)
chr7_16273402_16273541	Inafm1 (+145)
chr7_16614500_16614870	Arhgap35 (+308)
chr8_70891530_70891788	Ccdc124 (-17724), Slc5a5 (+1098)
chr7_19272571_19272701	Vasp (-819)
chr18_64339843_64340070	Onecut2 (-407)
chr5_148789509_148789564	Ubl3 (-236875), Katnal1 (+139110)
chr7_19322557_19322766	Ercc1 (-22116), Fosb (-12611)
chr7_19365344_19365599	Ercc2 (-16538), Ppp1r13l (+4256)
chr8_84200641_84200876	Nanos3 (-24207), Zswim4 (+36296)
chr18_67205213_67205420	Chmp1b (-74)
chr2_70564227_70564550	Gorasp2 (-97187), Gad1 (+2347)
chr9_114400958_114401274	Tmppe (+11), Glb1 (+40)
chr9_114528094_114528378	Ccr4 (-31674), Trim71 (+36133)
chr4_141546599_141546784	Spen (-8095), Fblim1 (+51532)
chr8_84977243_84977584	Rnaseh2a (-7674), Junb (+1304)
chr9_115310201_115310483	Stt3b (+79)
chr4_141546892_141546985	Spen (-8342), Fblim1 (+51285)
chr7_25249415_25249854	Gsk3a (-11784), Erf (+1126)
chr7_25395814_25396144	Lipe (+400)
chr7_25686689_25686940	Tgfb1 (-187)
chr9_118469395_118469655	Cmc1 (-319348), Eomes (-8819)
chr3_102676569_102676769	Tspan2 (-57860), Ngf (+206741)
chr7_28311937_28312287	Timm50 (-40)
chr4_149837056_149837138	Slc25a33 (-62820), Spsb1 (+117946)
chr4_149949852_149949981	Slc25a33 (-175640), Spsb1 (+5126)
chr3_108283858_108284290	Sort1 (-8)
chr7_30552333_30552428	Hspb6 (-887), Proser3 (-109)
chr6_29735316_29735592	Smo (-240)
chr2_75788685_75788807	Nfe2l2 (-84105), Agps (-43431)
