# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_19013189_19016384	Meis1 (+4182)
chr15_102982607_102983365	Hoxc8 (-7621), Hoxc9 (+5954)
chr18_3866682_3866977	Lyzl1 (-299002), Bambi (+358873)
chr19_46501282_46501531	Trim8 (-241)
chr5_119680595_119681108	Tbx5 (-153811), Tbx3 (+9834)
chr5_123138506_123138812	Setd1b (-3534)
chr3_37639656_37640080	Spry1 (-212)
chr3_37641067_37642562	Spry1 (+1735), Gm5148 (+82514)
chr3_37642698_37643251	Spry1 (+2895), Gm5148 (+81354)
chr16_30066210_30067176	Hes1 (+1353), Cpn2 (+200839)
chr2_33641500_33643258	Lmx1b (-1868)
chr5_138991478_138992013	Pdgfa (+3291), Gm5294 (+171666)
chr5_138992412_138994516	Pdgfa (+1573), Gm5294 (+173384)
chr4_133042243_133042565	Wasf2 (-88101), Ahdc1 (+30898)
chr5_142814417_142815443	Tnrc18 (+2732), Slc29a4 (+112829)
chr5_142815895_142816475	Tnrc18 (+1477), Slc29a4 (+114084)
chr4_133755923_133757903	Arid1a (-3302)
chr5_142822983_142823707	Tnrc18 (-5683), Fbxl18 (+71893)
chr3_87529218_87530902	Arhgef11 (-87515), Etv3 (+4653)
chr1_59481847_59482366	Fzd7 (-317)
chr1_59483139_59483561	Fzd7 (+926)
chr8_84199937_84200547	Nanos3 (-23690), Zswim4 (+36813)
chr8_84660555_84662042	Ier2 (+1553), Cacna1a (+245935)
chr2_71530324_71531774	Dlx1 (+2936), Dlx2 (+15705)
chr2_71533554_71533984	Dlx1 (+5656), Dlx2 (+12985)
chr2_71535847_71536645	Dlx1 (+8133), Dlx2 (+10508)
chr2_71540844_71541537	Dlx2 (+5563), Dlx1 (+13078)
chr2_71541599_71541654	Dlx2 (+5127), Dlx1 (+13514)
chr6_6877903_6878539	Dlx5 (+3864), Dlx6 (+14887)
chr2_71541880_71544776	Dlx2 (+3426), Dlx1 (+15215)
chr2_71544955_71545796	Dlx2 (+1378), Dlx1 (+17263)
chr1_74770739_74771089	Wnt6 (-978)
chr1_74771497_74771602	Wnt6 (-342)
chr5_24472639_24473124	Agap3 (+20705), Gbx1 (+54320)
chr1_86525424_86526098	Ptma (-965)
chr7_70358709_70358918	Nr2f2 (+1779)
chr7_82865844_82865956	Mex3b (-1433)
chr7_82869018_82870022	Tmc3 (-715411), Mex3b (+2187)
chr6_84583541_84583800	Cyp26b1 (+4967), Dysf (+564282)
chr6_91323201_91324229	Wnt7a (+87648), Fbln2 (+111260)
chr6_91324366_91325813	Wnt7a (+86273), Fbln2 (+112635)
chr9_55542234_55544237	Isl2 (+2088), Scaper (+376369)
chr9_55544680_55546400	Isl2 (+4392), Scaper (+374065)
chr9_64017010_64018344	Smad3 (-259683), Smad6 (+4382)
chr10_80054157_80054700	Gpx4 (+392)
chr10_80055087_80056206	Gpx4 (+1610), Sbno2 (+48723)
chr10_80149341_80151828	Cirbp (-17193), Midn (+2313)
chr11_5255617_5256043	Emid1 (-103573), Kremen1 (+5728)
chr11_18265925_18266547	Etaa1 (-312361), Meis1 (+752733)
chr11_25026622_25027066	Bcl11a (+948671)
chr11_29666110_29666339	Rps27a (-118116), Rtn4 (-26722)
chr11_33798079_33798552	Kcnip1 (+45269), D130052B06Rik (+199014)
chr11_34123067_34123528	Lcp2 (+76378), Foxi1 (+84791)
chr11_47459229_47459613	Sgcd (-79899)
chr11_53493509_53493859	Sept8 (-26086), Sowaha (-13410)
chr11_57747757_57748216	Sap30l (-53650), Galnt10 (+102545)
chr11_64887123_64887415	Elac2 (-91769), Hs3st3a1 (+451937)
chr11_79089114_79089341	Lgals9 (-104304), Ksr1 (+57179)
chr11_88439113_88439504	Ccdc182 (+145251), Msi2 (+278792)
chr11_88626021_88626663	Msi2 (+91759), Ccdc182 (+332284)
chr11_90553853_90554071	Hlf (-163067), Stxbp4 (+84122)
chr11_92925622_92926079	Car10 (-173439)
chr11_95106868_95107245	Itga3 (-30256), Dlx3 (-13062)
chr11_96884076_96884365	Cdk5rap3 (+32275), Copz2 (+34345)
chr11_98438993_98439060	Mien1 (-36)
chr11_100206147_100206767	Krt9 (-13211), Krt14 (+1091)
chr11_103940624_103940975	Nsf (+13256), Wnt3 (+166650)
chr11_118584891_118585206	Engase (+108220), Rbfox3 (+324523)
chr12_24425082_24425331	9030624G23Rik (-327961), Taf1b (-73152)
chr12_39614581_39614865	Arl4a (+422706), Etv1 (+834641)
chr12_42793278_42793980	NONE
chr12_42972644_42973611	NONE
chr12_55600277_55600554	Insm2 (+989)
chr12_72408506_72409123	Rtn1 (+239)
chr12_75586784_75587428	Gphb5 (-170325), Ppp2r5e (+9094)
chr12_76881268_76881626	Fntb (+44033), Max (+80738)
chr12_83147563_83147910	Dpf3 (+339979), Rgs6 (+530792)
chr12_86509736_86510092	Vash1 (-168786), Esrrb (+88270)
chr12_87298202_87298732	Ism2 (+1238), Ahsa1 (+31769)
chr12_88579825_88580409	Nrxn3 (-214387), Adck1 (+219469)
chr12_98745346_98745949	Zc3h14 (-1341)
chr12_106322371_106322729	Vrk1 (+291833)
chr12_107669127_107669531	3110018I06Rik (+180697), Bcl11b (+334273)
chr12_119372416_119372791	Itgb8 (-133802), Macc1 (-19979)
chr13_12494728_12495085	Lgals8 (-33412), Edaradd (+25531)
chr13_23390782_23391359	Zfp322a (-21863), Abt1 (+32795)
chr13_35603454_35603845	Eci2 (-609506), Cdyl (-56183)
chr13_38037012_38037268	Cage1 (-217), Riok1 (+145)
chr13_41364462_41364588	Smim13 (+114681), Nedd9 (+122768)
chr13_42488202_42488372	Phactr1 (-221294), Edn1 (+186811)
chr13_54693854_54694534	Cdhr2 (-7267), Rnf44 (-6100)
chr13_61317188_61317416	Cts8 (-61944), Cts7 (+40894)
chr13_77217104_77217884	Fam172a (-491196), 2210408I21Rik (+81954)
chr13_77419925_77420621	Fam172a (-288417), 2210408I21Rik (+284733)
chr13_98062238_98062527	Gm10260 (-301751), Arhgef28 (+143784)
chr13_98214102_98214526	Arhgef28 (-8147), Utp15 (+48727)
chr13_98523739_98524307	Gm10320 (-32022), Tmem174 (+113387)
chr13_102486100_102486522	Pik3r1 (-718094), Cd180 (-207247)
chr14_46101851_46101983	Ddhd1 (-443819), Gm15217 (-277550)
chr13_107096915_107097225	Smim15 (-947419), Kif2a (-74956)
chr13_107970155_107970454	Kif2a (-948191), Smim15 (-74184)
chr13_110633244_110633535	Actbl2 (-621623), Plk2 (+238344)
chr13_117931475_117931764	Hcn1 (+329140), Mrps30 (+455632)
chr13_117931815_117931958	Hcn1 (+329407), Mrps30 (+455365)
chr14_21892080_21892359	Comtd1 (-43243), Zfp503 (+97381)
chr14_63713139_63713401	Pinx1 (-147094), Xkr6 (+106767)
chr14_64568519_64569016	Msra (-112865), Kif13b (-83763)
chr14_64880746_64880999	Hmbox1 (+68998), Kif13b (+228342)
chr16_34426305_34426749	Umps (-459489), Kalrn (+87521)
chr14_72924755_72925330	Fndc3a (-215040), Cysltr2 (+124071)
chr14_73366537_73366797	Rb1 (-40845), Itm2b (+18604)
chr16_56867511_56867979	Adgrg7 (-71890), Tmem45a (+18421)
chr16_73245054_73245555	Robo1 (+582156)
chr14_93887054_93887366	Pcdh9 (+3459)
chr16_75918972_75919390	Samsn1 (-9871), Nrip1 (+454646)
chr16_76805182_76805860	Nrip1 (-431694), Usp25 (-208548)
chr14_103939633_103940481	Ednrb (-96361), Pou4f1 (+527942)
chr16_88387444_88387866	Grik1 (-97397), Cldn17 (+119323)
chr14_117048879_117049544	Gpc6 (+123681)
chr16_89944611_89945058	Krtap11-1 (-373652), Tiam1 (+29864)
chr14_120587418_120587665	Ipo5 (-323652), Rap2a (+109081)
chr16_90846860_90847088	Eva1c (+15861), 1110004E09Rik (+87853)
chr16_93129629_93129734	Runx1 (-303533), Setd4 (+474133)
chr15_5106233_5106465	C7 (-42576), Card6 (+2190)
chr17_3481863_3482192	Cldn20 (-50526), Tiam2 (+155455)
chr15_10692551_10693060	Ttc23l (-134138), Rai14 (+20734)
chr15_12323045_12323498	Golph3 (+1776), Pdzd2 (+269284)
chr15_25680897_25681394	Retreg1 (-162118), Myo10 (+58621)
chr17_8808998_8809353	1700010I14Rik (-179157), Pde10a (+7431)
chr15_30338762_30339114	Dap (-885376), Ctnnd2 (+166345)
chr17_9210664_9210961	1700010I14Rik (+222480), Pabpc6 (+458891)
chr17_9829960_9830177	Pabpc6 (-160365), Qk (+489292)
chr17_12408161_12408357	Plg (+29650), Slc22a3 (+99445)
chr15_37198059_37198528	Zfp706 (-190892), Grhl2 (-34742)
chr17_17005044_17005407	Zfp960 (-58887)
chr17_17234811_17235070	Lix1 (-167731), Zfp97 (+113526)
chr15_50963575_50964060	Trps1 (-74769), Eif3h (+901663)
chr15_57662169_57662500	Slc22a22 (-184710), Zhx2 (-32330)
chr17_24666005_24666068	Zfp598 (-3715)
chr15_62314386_62315145	Myc (+329375)
chr15_64202861_64203517	Fam49b (-142741), Asap1 (+179730)
chr18_81054014_81054728	Sall3 (-67793)
chr15_72568173_72569068	Kcnk9 (-22342), Trappc9 (+492583)
chr15_72689802_72690244	Kcnk9 (-143744), Trappc9 (+371181)
chr17_31790516_31790730	Sik1 (+65169), Cryaa (+112690)
chr18_88647581_88648201	Socs6 (+246431), Gm5096 (+891605)
chr15_78119686_78120216	Cacng2 (+77)
chr19_4988836_4989374	Npas4 (+866)
chr15_80318371_80318895	Cacna1i (+31395), Enthd1 (+241837)
chr19_7143514_7144049	Flrt1 (-38053), Otub1 (+62534)
chr15_83715144_83715346	Ttll12 (-120088), Scube1 (+9776)
chr1_149545951_149546677	Pla2g4a (+414976)
chr15_86166814_86167464	Cerk (+19002), Gramd4 (+109444)
chr17_51766369_51766650	Tbc1d5 (-587342), Satb1 (+66162)
chr15_86873734_86874127	Fam19a5 (-751299), Tbc1d22a (+659472)
chr17_56200010_56200086	Mydgf (-16128), Dpp9 (+18841)
chr15_86952514_86953279	Fam19a5 (-672333), Tbc1d22a (+738438)
chr17_56233670_56234038	Fem1a (-22939), Dpp9 (-14965)
chr17_56516071_56516510	Znrf4 (-3808)
chr19_14693252_14693709	Tle4 (-95498)
chr15_92079129_92079368	Pdzrn4 (-317666), Cntn1 (+28084)
chr19_17199408_17200049	Gcnt1 (+156938), Prune2 (+243611)
chr19_17412987_17413344	Rfk (+19123), Pcsk5 (+424466)
chr19_24029845_24030192	Fam189a2 (+1000), Apba1 (+271143)
chr19_25353194_25353718	Dmrt1 (-152162), Kank1 (+116481)
chr19_26730419_26730729	Gm815 (-155351), Smarca2 (+125522)
chr15_99252018_99252378	Mcrs1 (-237)
chr1_158427506_158427793	Astn1 (+65377), Pappa2 (+530717)
chr1_166736557_166736947	Fam78b (-264665), Fmo9 (-54907)
chr17_81607390_81608022	Slc8a1 (+41901), Gm11096 (+165943)
chr15_102692607_102692784	Atp5g2 (-21569), Calcoco1 (+29482)
chr1_178406340_178406452	Efcab2 (+293)
chr2_172996160_172996535	Rae1 (-3769)
chr2_173737234_173737405	Vapb (-191)
chr19_40894936_40895220	Zfp518a (+373)
chr4_84876256_84876783	Bnc2 (-201434), Cntln (-7945)
chr4_89644597_89644906	Cdkn2b (-333720), Dmrta1 (-43446)
chr2_180522605_180522897	Mrgbp (-59961), Ntsr1 (+22775)
chr4_98126219_98126331	E130114P18Rik (-348227), Tm2d1 (+257031)
chr4_99267800_99268203	Gm12689 (-27898), Atg4c (+74068)
chr16_11915796_11916230	Shisa9 (-68568), Cpped1 (-6590)
chr18_7547211_7547540	Armc4 (-249475), Mpp7 (+79487)
chr3_14071509_14072055	Slc7a12 (-408915), Ralyl (+600100)
chr16_12234992_12235158	Ercc4 (-874609), Shisa9 (+250494)
chr3_15113232_15113829	Gm9733 (+218771), Car2 (+227103)
chr1_191120931_191121031	Batf3 (+22656), Fam71a (+43836)
chr4_105347765_105348326	Gm12728 (-441823), Plpp3 (+190699)
chr18_12026100_12026376	Tmem241 (+95292), Cables1 (+187018)
chr3_21357201_21357455	Agtr1b (-990151), Tbl1xr1 (-719324)
chr18_13929917_13930251	Zfp521 (+42649), Hrh4 (+923094)
chr19_48690957_48691433	Sorcs3 (+485170)
chr3_23409490_23409906	NONE
chr4_111200245_111200590	Bend5 (-214588), Agbl4 (+802627)
chr18_15544207_15544484	Aqp4 (-140662), Chst9 (+173700)
chr3_29541593_29541844	Egfem1 (+458986), Mecom (+471437)
chr2_9053675_9054124	Gata3 (+824700)
chr18_20317487_20317732	Dsg1b (-59119), Dsg1a (+6799)
chr19_53956947_53957214	Adra2a (-88101), Shoc2 (+12205)
chr3_34808824_34809188	Atp11b (-945128), Sox2 (+158601)
chr2_10928634_10928798	Prkcq (-243392), Sfmbt2 (+556266)
chr18_23954435_23954890	Zfp397 (-42)
chr18_25668087_25668471	Celf4 (+85704), AW554918 (+499259)
chr2_14627433_14628044	Cacnb2 (+23433), Nsun6 (+427145)
chr5_125465666_125465931	Aacs (-10015), Bri3bp (+24231)
chr2_15932052_15932247	Plxdc2 (-424154), Malrd1 (+405671)
chr2_16490833_16491194	Plxdc2 (+134710)
chr19_60147234_60147754	Rab11fip2 (-204130), Fam204a (+79203)
chr4_124047956_124048717	Rragc (+130891), 3100002H09Rik (+562466)
chr3_40799636_40800019	Plk4 (-191)
chr4_124526625_124527129	3100002H09Rik (+83926), Rragc (+609431)
chr1_13081444_13081712	Slco5a1 (-90443), Prdm14 (+45585)
chr1_14010618_14011255	Eya1 (+299263), Xkr9 (+342166)
chr6_148628224_148628576	Tmtc1 (-184011), Ipo8 (+203067)
chr6_148678950_148679298	Tmtc1 (-234735), Ipo8 (+152343)
chr4_129406245_129406773	Zbtb8a (-28393), Zbtb8b (+34309)
chr3_52662224_52662566	Cog6 (+354842), Foxo1 (+394059)
chr7_3645170_3645248	Cnot3 (-143)
chr18_39738365_39739228	Nr3c1 (-248123), Pabpc2 (-34700)
chr1_19981569_19982050	Pkhd1 (+636254), Tfap2b (+772896)
chr3_54696771_54697396	Supt20 (+3979), Exosc8 (+38309)
chr18_40432678_40433158	Kctd16 (+174557)
chr1_20870874_20871534	Mcm3 (-50892), Paqr8 (-19402)
chr1_24102621_24102935	Fam135a (-2445)
chr18_43878576_43878984	Gm94 (-85902), Spink5 (-84455)
chr1_36666770_36667097	Sema4c (-109408), Fam178b (+16249)
chr18_43984762_43985243	Spink14 (-42866), Spink5 (+21768)
chr3_60486275_60486373	Mbnl1 (-14855), Sucnr1 (+404455)
chr18_45882262_45882761	Trim36 (+330095), Kcnn2 (+613507)
chr2_35942231_35942705	Ttll11 (+37156), Dab2ip (+320431)
chr2_36077337_36077621	Lhx6 (+27792), Morn5 (+28021)
chr3_69808583_69808959	Sptssb (+51169), Nmd3 (+86786)
chr7_6410041_6410459	Smim17 (-4925)
chr1_43147457_43147979	Fhl2 (+16243), AI597479 (+49008)
chr1_44951221_44951282	Col3a1 (-360286), Gulp1 (+399741)
chr3_81091990_81092176	Ctso (-840518), Pdgfc (+55667)
chr2_43978700_43978961	Arhgap15 (+229961), Gtdc1 (+882791)
chr1_46076071_46076164	Dnah7c (-349474), Dnah7b (+9380)
chr2_46536232_46536497	NONE
chr1_47572575_47573427	Slc39a10 (-718955)
chr18_55231161_55231483	Zfp608 (-241142)
chr4_133969285_133969786	Hmgn2 (-1535)
chr2_47184455_47184671	NONE
chr3_85931675_85932031	Glt28d2 (-44337), Prss48 (+70638)
chr1_50317805_50317937	Tmeff2 (-609648)
chr2_49904268_49904660	Lypd6 (-162000), Lypd6b (+116776)
chr8_61591073_61591487	Cbr4 (+103546), Palld (+311389)
chr1_52830472_52830964	Hibch (-14328), Inpp1 (-13030)
chr5_147726840_147727204	Flt1 (-1011)
chr2_51015119_51016073	Mmadhc (-718879), Rnd3 (+133515)
chr8_61623783_61624349	Cbr4 (+136332), Palld (+278603)
chr4_136706475_136706763	Lactbl1 (+83998), Ephb2 (+129337)
chr5_148374171_148374689	Slc7a1 (+25474), Mtus2 (+417110)
chr2_51118653_51118801	Mmadhc (-822010), Rnd3 (+30384)
chr1_55718406_55718661	Plcl1 (+312613), Hsfy2 (+918901)
chr5_148789001_148789078	Ubl3 (-236378), Katnal1 (+139607)
chr2_58470276_58470422	Acvr1c (-112454), Acvr1 (+96477)
chr5_148789138_148789441	Ubl3 (-236628), Katnal1 (+139357)
chr18_63277838_63278245	Piezo2 (+109141), Napg (+300206)
chr1_58197327_58197789	Aox4 (-12839), Aox3 (+84422)
chr3_93520342_93520566	S100a11 (-34)
chr2_59820044_59820572	Wdsub1 (+62276), Tanc1 (+208264)
chr3_93520645_93520806	S100a11 (+238)
chr3_94837696_94837840	Pogz (+201)
chr1_59535183_59535708	Gm973 (+19182), Sumo1 (+135388)
chr1_60715593_60715915	Raph1 (-148975), Cd28 (-30604)
chr7_24359351_24359565	Kcnn4 (-10841), Lypd5 (+10262)
chr5_151185595_151186065	Stard13 (+4364), Kl (+233223)
chr9_115524907_115525244	Gadl1 (-384379), Stt3b (-214655)
chr9_116338890_116339287	Tgfbr2 (-163824)
chr6_6597509_6598097	Dlx6 (-265531), Sem1 (-19145)
chr1_67141045_67141236	Cps1 (+18115)
chr8_91532762_91533238	Fto (+219475), Irx3 (+268915)
chr7_28448106_28448363	Lrfn1 (-10423), Gmfg (+10788)
chr6_9022429_9023127	Nxph1 (+74164)
chr6_17635573_17635929	Capza2 (-1232)
chr9_123021449_123021868	Tmem42 (+333)
chr7_30534893_30535217	Arhgap33 (-46)
chr3_110341246_110341507	Prmt6 (-90384)
chr3_116459665_116459906	Cdc14a (-35754), Rtca (+48422)
chr4_152799382_152799661	Nphp4 (+321380), Ajap1 (+683289)
chr4_153526509_153526998	A430005L14Rik (-430483), Ajap1 (-43943)
chr6_30720584_30721111	Cep41 (-27099), Mest (-17205)
chr2_83723844_83724416	Itgav (-267)
chr3_119283472_119283641	Ptbp2 (+499831), Dpyd (+721428)
chr4_155859388_155859703	Tas1r3 (+3816), Dvl1 (+12144)
chr7_36352629_36352959	Zfp507 (-549805), Tshz3 (-345324)
chr3_123426408_123426601	Mettl14 (-40397), Prss12 (-20408)
chr3_123890026_123890592	Tram1l1 (-430546), Ndst3 (-199456)
chr1_80221032_80221279	Fam124b (-7212), Cul3 (+119324)
chr3_127745227_127746146	Alpk1 (+34840), Neurog2 (+112552)
chr5_12498586_12498871	Sema3a (-900580), Sema3d (+115344)
chr1_81839124_81839306	Gm9747 (-393897), Nyap2 (+761898)
chr5_13058938_13059503	Sema3a (-340088), Sema3d (+675836)
chr3_127922425_127922598	5730508B09Rik (-26188)
chr3_128379383_128379877	Pitx2 (-834342), 5730508B09Rik (-483306)
chr5_17888686_17889080	Gnat3 (-73666), Cd36 (-39091)
chr6_39725307_39725719	Braf (-50)
chr3_129705227_129705797	Egf (+49804), Elovl6 (+173126)
chr5_22746780_22747078	Lhfpl3 (+870)
chr2_102782700_102783095	Cd44 (+118727), Slc1a2 (+124239)
chr2_102864644_102865304	Cd44 (+36651), Slc1a2 (+206315)
chr2_104810287_104810398	Depdc7 (-67465), Qser1 (+6353)
chr8_108804622_108805202	Pmfbp1 (-689115), Zfhx3 (+862268)
chr2_107240363_107240989	Fshb (-181020), Kcna4 (-49963)
chr5_30710696_30711029	Dpysl5 (-701)
chr3_138189015_138189290	4930579F01Rik (-2480)
chr5_31924371_31924630	Fosl2 (-211300), Babam2 (+226451)
chr7_50421186_50421529	4933405O20Rik (-177832), Nell1 (+446494)
chr3_141482355_141482851	Unc5c (+17029), Bmpr1b (+499661)
chr3_142336762_142337050	Bmpr1b (-354642), Pdlim5 (+54902)
chr7_56588805_56588876	Oca2 (+349081), Gabrg3 (+798347)
chr3_144460250_144460542	Lmo4 (-255176), Hs2st1 (+109785)
chr7_63111855_63112241	A26c2 (-288375), Chrna7 (+100465)
chr2_119873394_119873473	Mga (-23794), Tyro3 (+73920)
chr1_88847643_88848250	Sh3bp4 (-222468), Arl4c (-145726)
chr7_64052559_64052845	Klf13 (-113787), Trpm1 (-101133)
chr8_116789999_116790457	Cdyl2 (-57237), Cmc2 (+131227)
chr6_52091248_52091431	Skap2 (-78791), Hoxa1 (+66977)
chr5_43232995_43233219	Cpeb2 (-63)
chr2_125246917_125247407	Dut (-28)
chr1_90156914_90157348	Iqca (-3730)
chr6_52190832_52191004	Hoxa4 (+835)
chr5_43233308_43233394	Cpeb2 (+181)
chr7_68559880_68560049	Arrdc4 (+189276), Fam169b (+286126)
chr3_155577006_155577462	Negr1 (-984560), Lrriq3 (+483800)
chr7_68744390_68744637	Arrdc4 (+4727), Fam169b (+470675)
chr5_49996490_49996915	Kcnip4 (-471796), Adgra3 (+62303)
chr5_51667389_51667875	Ppargc1a (-113710), Dhx15 (+522882)
chr7_70331675_70331970	Nr2f2 (+28770)
chr3_159847395_159847663	Wls (+7857)
chr2_130121278_130121714	Tgm6 (-1779)
chr8_123412710_123413178	Def8 (-30061), Tubb3 (+1520)
chr4_7917760_7918122	Tox (-927142), Car8 (+321100)
chr1_95294928_95295445	Fam174a (-18436)
chr2_131352738_131353097	Rnf24 (-37)
chr1_96401521_96401791	St8sia4 (-734085), Slco4c1 (+470515)
chr1_105885588_105886029	Zcchc2 (-104597), Tnfrsf11a (+105091)
chr7_72150724_72151348	Gm10295 (-799551), Mctp2 (+155572)
chr1_105988116_105988748	Zcchc2 (-1974)
chr7_73320351_73320541	Rgma (-55074)
chr6_61128428_61128711	Ccser1 (-51754), Mmrn1 (+184094)
chr6_64604855_64605399	Atoh1 (-123998)
chr7_73390941_73391574	Rgma (+15738), Chd2 (+150488)
chr1_110706233_110706353	Cdh19 (+271070), Cdh7 (+723583)
chr4_15626322_15626378	Calb1 (-254914), Tmem64 (+360519)
chr2_137828048_137829042	Jag1 (-711901), Btbd3 (-449948)
chr1_114710338_114710887	Cntnap5a (-974143)
chr2_139112059_139112502	Sptlc3 (-381639), Btbd3 (+833788)
chr5_76744917_76745344	Cep135 (+156430), Aasdh (+160383)
chr8_128686322_128686744	Itgb1 (+879)
chr5_77242342_77242782	Spink2 (-31091), Rest (-22929)
chr2_141049514_141049960	Flrt3 (-378268)
chrX_12822479_12822920	Usp9x (-248814), Med14 (-60627)
chr5_77678168_77678566	Igfbp7 (-270327)
chr4_30777546_30777813	NONE
chr2_145486034_145486590	Rin2 (-299804), Slc24a3 (+241340)
chr4_31513524_31513977	Map3k7 (-450346)
chr7_82863235_82863567	Mex3b (-3932)
chr4_31880186_31880676	Map3k7 (-83666)
chr6_71785267_71785693	Mrpl35 (+38330), Reep1 (+77919)
chr7_87395314_87395951	Tyr (+97879), Nox4 (+148984)
chr2_156789214_156789609	Tgif2 (-50595), Myl9 (+13992)
chr6_72755043_72755723	Tgoln1 (-138383), Tcf7l1 (+33569)
chr7_94541743_94542545	NONE
chr5_93267322_93267620	Ccng2 (+214)
chr5_96376047_96376521	Anxa3 (-417101), Fras1 (+2329)
chr1_136364897_136364952	Ddx59 (-50346), Camsap2 (-18821)
chr7_97147774_97148158	Gab2 (+66380), Usp35 (+184054)
chr5_96539146_96539346	Anxa3 (-254139), Fras1 (+165291)
chr2_157913267_157913737	Vstm2l (-1151)
chr7_98158568_98158766	Omp (-13165), Capn5 (+19607)
chr7_98962608_98962760	Wnt11 (+127553), Uvrag (+178457)
chrX_142435618_142436015	Tmem164 (-245909), Acsl4 (-45282)
chr7_100372146_100372354	C2cd3 (+17), Ppme1 (+57)
chr4_53221352_53221645	Slc44a1 (-218914), Abca1 (-61604)
chr4_55316711_55317136	Rad23b (-33119), Zfp462 (+368948)
chr5_103569235_103569465	Slc10a6 (+60053), Ptpn13 (+143849)
chr2_164540896_164541312	Wfdc2 (-21475), Pigt (+43584)
chr5_105860227_105860586	Zfp326 (-16161), Lrrc8d (+159618)
chr4_58496653_58497199	Lpar1 (+56385), Musk (+210964)
chr9_15071660_15072292	Panx1 (-26498), Hephl1 (+40132)
chr10_3747341_3748073	Mthfd1l (-225424), Plekhg1 (+7343)
chr4_62694875_62695188	Zfp618 (-270542), Rgs3 (+75512)
chr9_17226661_17227005	Fat3 (-725548)
chr10_4975490_4975940	Gm10097 (-93477), Esr1 (+363726)
chr7_110580031_110580406	Sbf2 (+34701), Swap70 (+358508)
chr6_95059459_95059988	Lrig1 (-359587), Kbtbd8 (-58016)
chr4_74464015_74464598	Kdm4c (+212371), Tmem261 (+813998)
chr10_8196061_8196209	Tab2 (-239905), Ust (+322690)
chr10_12636325_12636867	Utrn (+225139)
chr10_13601331_13601672	Pex3 (-48363), Aig1 (+267455)
chr7_118963188_118963643	Knop1 (-107162), Gprc5b (+21228)
chr6_104716113_104716473	Cntn4 (-961452), Cntn6 (+223371)
chr10_18194886_18195325	Ect2l (+15784), Reps1 (+139166)
chr10_20737187_20737540	Ahi1 (-215183), Pde7b (-189036)
chr7_125864102_125864521	D430042O09Rik (+156397), Gsg1l (+218099)
chr9_41583830_41584114	Ubash3b (-425910), Sorl1 (+540325)
chr10_29146803_29147223	9330159F19Rik (-64593), Soga3 (+3174)
chr10_29981346_29981945	Rspo3 (-445779), Cenpw (+218914)
chr6_113795208_113795885	Sec13 (-54804), Atp2b2 (+139134)
chr10_36092948_36093439	Hs3st5 (-413625), Amd2 (-381302)
chr10_37495427_37495715	Marcks (-356651)
chr10_43578975_43579200	Cd24a (-81)
chr10_45495595_45496094	Hace1 (-81984), Lin28b (-25644)
chr7_138909443_138909779	Bnip3 (-105)
chr6_118758397_118758784	Ankrd26 (-196365), Cacna1c (+349384)
chr8_10859718_10860091	Irs2 (+148553), Myo16 (+705937)
