# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1_3901785_3901879	Xkr4 (-230334), Rp1 (+458482)
chr1_168268935_168269034	Pbx1 (+162912), Lmx1a (+579428)
chr1_168269102_168269290	Pbx1 (+162701), Lmx1a (+579639)
chr1_172027356_172027508	Vangl2 (+1012), Slamf6 (+109917)
chr1_178406340_178406452	Efcab2 (+293)
chr1_178748177_178748657	Kif26b (+219292), Smyd3 (+769617)
chr1_179445679_179446330	Smyd3 (+72029), Kif26b (+916880)
chr1_180813533_180813968	H3f3a (-119)
chr1_182020127_182020567	Enah (-686)
chr1_182250541_182251022	Vmn1r1 (-92463), Degs1 (+32022)
chr1_182489851_182490138	Capn2 (+27529), Trp53bp2 (+80823)
chr1_182686242_182686663	Ccdc185 (+62727), Capn8 (+121441)
chr1_185641936_185641997	Slc30a10 (+187119), Lyplal1 (+475343)
chr1_186455294_186455681	Lyplal1 (-338178), Tgfb2 (+250212)
chr1_189921730_189922029	Smyd2 (+483)
chr1_191120931_191121031	Batf3 (+22656), Fam71a (+43836)
chr1_193632876_193632934	Plxna2 (-986920), Camk1g (-262607)
chr1_194354707_194354920	Camk1g (-984516), Plxna2 (-265011)
chr1_194593212_194593524	Plxna2 (-26457)
chr1_194637565_194638249	Cd34 (-300912), Plxna2 (+18082)
chr10_3740196_3740561	Plekhg1 (+15)
chr10_3839804_3840471	Mthfd1l (-132993), Plekhg1 (+99774)
chr10_4975490_4975940	Gm10097 (-93477), Esr1 (+363726)
chr10_8196061_8196209	Tab2 (-239905), Ust (+322690)
chr10_8807136_8807370	Ust (-288428), Sash1 (+78817)
chr10_9557678_9558187	Sash1 (-671863), Samd5 (+117275)
chr10_12636325_12636867	Utrn (+225139)
chr10_12868549_12869042	Utrn (-7061), Stx11 (+95466)
chr10_13601331_13601672	Pex3 (-48363), Aig1 (+267455)
chr10_13641829_13642309	Pex3 (-88930), Aig1 (+226888)
chr10_17494021_17494354	Cited2 (-229045)
chr10_18194886_18195325	Ect2l (+15784), Reps1 (+139166)
chr10_20474705_20475443	Pde7b (+73254), Mtfr2 (+127304)
chr10_20737187_20737540	Ahi1 (-215183), Pde7b (-189036)
chr10_24736962_24737639	Enpp1 (-25310), Enpp3 (+98924)
chr10_28211923_28212364	Themis (-456216), Ptprk (+137324)
chr10_29146803_29147223	9330159F19Rik (-64593), Soga3 (+3174)
chr10_29981346_29981945	Rspo3 (-445779), Cenpw (+218914)
chr10_36092948_36093439	Hs3st5 (-413625), Amd2 (-381302)
chr10_37140848_37141177	Marcks (-2093)
chr10_37495427_37495715	Marcks (-356651)
chr10_41450027_41450572	Zbtb24 (-83)
chr10_41810044_41810525	Cep57l1 (-672), Sesn1 (+350)
chr10_43578975_43579200	Cd24a (-81)
chr10_43666490_43667061	Cd24a (+87607), Qrsl1 (+234969)
chr10_43872378_43872479	Qrsl1 (+29316), Cd24a (+293260)
chr10_45495595_45496094	Hace1 (-81984), Lin28b (-25644)
chr10_45812818_45812972	Hace1 (+235066)
chr10_45813027_45813175	Hace1 (+235272)
chr10_46819842_46820144	NONE
chr10_58636923_58636991	Edar (+38697), Ccdc138 (+139009)
chr10_59221044_59222011	Sowahc (-425), Sept10 (+319)
chr10_60794390_60794719	Slc29a3 (-41773), Unc5b (+37026)
chr10_60813871_60814249	Slc29a3 (-61278), Unc5b (+17521)
chr10_61273378_61273714	Adamts14 (-108)
chr10_62208566_62208744	Tspan15 (+22596), Neurog3 (+75565)
chr10_66897289_66897748	Reep3 (+199426)
chr10_70871717_70872183	Phyhipl (-272659), Bicc1 (+287750)
chr10_75025547_75025616	Rsph14 (+7004), Gnaz (+58405)
chr10_76963741_76964342	Pcbp3 (-2254)
chr10_77149556_77149660	Pofut2 (-109610), Col18a1 (-35903)
chr10_78244704_78244776	Trappc10 (-99)
chr10_79669662_79669866	Tpgs1 (+395)
chr10_79925497_79925762	Arid3a (-1413)
chr10_80150584_80151061	Cirbp (-16955), Midn (+2551)
chr10_80159656_80159839	Cirbp (-8030), Midn (+11476)
chr10_80159901_80160017	Cirbp (-7819), Midn (+11687)
chr10_80160869_80160962	Cirbp (-6862), Midn (+12644)
chr10_80172809_80173177	1600002K03Rik (+49)
chr10_80265466_80265596	Gamt (-4563), Dazap1 (+457)
chr10_81320381_81320519	Cactin (-653)
chr10_82810461_82810727	Txnrd1 (-49707), Nfyb (-46450)
chr10_82836161_82836336	Nfyb (-72105), Txnrd1 (-24052)
chr10_83137793_83138262	Chst11 (+152530), Slc41a2 (+199854)
chr10_84287190_84287709	Nuak1 (+153147), 1500009L16Rik (+564585)
chr10_85386502_85386855	Btbd11 (-135)
chr10_86836738_86836888	Nt5dc3 (+57808), Stab2 (+171212)
chr10_86836939_86837045	Nt5dc3 (+57987), Stab2 (+171033)
chr10_88222638_88223044	Washc3 (+21748), Dram1 (+134234)
chr10_88669963_88670315	Mybpc1 (-65114), Spic (+12884)
chr10_89446050_89446565	Gas2l3 (-2341)
chr10_95848793_95849202	Anapc15-ps (-175547), Eea1 (-91752)
chr10_95940432_95940666	Eea1 (-201)
chr10_103832193_103832620	Gm21293 (-311910), Slc6a15 (+464564)
chr10_104443794_104443889	Gm4340 (+249800)
chr10_108062045_108062627	Otogl (-150202), Ppp1r12a (-100064)
chr10_108274847_108274930	Pawr (-57232), Ppp1r12a (+112489)
chr10_109404708_109404774	Syt1 (-393766), Nav3 (+595478)
chr10_111506347_111506557	Phlda1 (+166)
chr10_111559386_111559767	Krr1 (-413087), Phlda1 (+53291)
chr10_111699602_111700122	Krr1 (-272802), Phlda1 (+193576)
chr10_115123430_115123746	Trhde (-322224), Tph2 (+61434)
chr10_117629139_117629400	Cpm (-230)
chr10_117985929_117986607	Mdm1 (-155591), Rap1b (-140233)
chr10_126005126_126005612	Lrig3 (+39116), Atp23 (+895979)
chr10_126392587_126392788	Lrig3 (+426435), Atp23 (+508660)
chr10_126935825_126936043	Ctdsp2 (-42783), Atp23 (-34586)
chr10_126978481_126978902	Ctdsp2 (-25)
chr10_127324635_127324872	Arhgap9 (+1047), Gli1 (+17220)
chr10_128498760_128499033	Myl6b (-212)
chr11_5255617_5256043	Emid1 (-103573), Kremen1 (+5728)
chr11_5416864_5417370	Kremen1 (-155559), Znrf3 (+27730)
chr11_5544187_5544288	Ccdc117 (-2051)
chr11_17091736_17091792	Ppp3r1 (-67499), Cnrip1 (+39946)
chr11_18265925_18266547	Etaa1 (-312361), Meis1 (+752733)
chr11_20542614_20542910	Sertad2 (-572)
chr11_22990531_22991319	Cct4 (+406)
chr11_23895240_23895513	Papolg (-124)
chr11_24397049_24397530	Bcl11a (+319117)
chr11_24643551_24644023	Bcl11a (+565614)
chr11_25026622_25027066	Bcl11a (+948671)
chr11_25100085_25100186	NONE
chr11_29666110_29666339	Rps27a (-118116), Rtn4 (-26722)
chr11_30287951_30288316	Sptbn1 (-19965), 4930505A04Rik (+183674)
chr11_31755957_31756071	Cpeb4 (-116197), Bod1 (-84129)
chr11_31756124_31756221	Cpeb4 (-116038), Bod1 (-84288)
chr11_32533066_32533258	Stk10 (-143)
chr11_33798079_33798552	Kcnip1 (+45269), D130052B06Rik (+199014)
chr11_34123067_34123528	Lcp2 (+76378), Foxi1 (+84791)
chr11_34231996_34232166	Fam196b (-82741), Foxi1 (-23992)
chr11_35571910_35572639	Pank3 (-197209), Slit3 (+451051)
chr11_44470410_44470622	Ublcp1 (-18)
chr11_47459229_47459613	Sgcd (-79899)
chr11_51855670_51856460	Jade2 (+1588), Sar1b (+92378)
chr11_52000172_52000831	Cdkl3 (-3788), Ube2b (-18)
chr11_53493509_53493810	Sept8 (-26110), Sowaha (-13386)
chr11_53706526_53707053	Rad50 (+529)
chr11_53769634_53770064	Irf1 (-165)
chr11_54443064_54443119	Rapgef6 (-79854), Fnip1 (+4893)
chr11_55472936_55472991	G3bp1 (+3279), Glra1 (+134857)
chr11_55607682_55608102	Glra1 (-71)
chr11_56012011_56012387	Glra1 (-404378), Nmur2 (+28811)
chr11_56871604_56872107	Nmur2 (-830846), Gria1 (-139954)
chr11_57747757_57748216	Sap30l (-53650), Galnt10 (+102545)
chr11_58866965_58867075	2810021J22Rik (-196)
chr11_60777417_60777585	Top3a (-136), Smcr8 (-24)
chr11_60913643_60913981	Natd1 (0)
chr11_62629301_62629415	Lrrc75a (+19165), Trpv2 (+54820)
chr11_63907938_63908196	Hs3st3b1 (+14223), Pmp22 (+779085)
chr11_64887123_64887415	Elac2 (-91769), Hs3st3a1 (+451937)
chr11_67455076_67455134	Gas7 (-131431), Myh13 (+133447)
chr11_69059525_69059801	Borcs6 (-54)
chr11_69409619_69409994	Tmem88 (-11573), Kdm6b (+3868)
chr11_69417534_69418198	Kdm6b (-4191)
chr11_69581355_69581766	Wrap53 (-2237), Trp53 (+1202)
chr11_69919339_69919899	Eif5a (+1767), Gps2 (+5731)
chr11_69997135_69997672	Dvl2 (-3213)
chr11_71512481_71513034	Nlrp1b (-311302), Wscd1 (-238618)
chr11_72229982_72230130	Med31 (-14464), Slc13a5 (+36603)
chr11_72501545_72501769	Spns2 (-11753), Spns3 (+48849)
chr11_74638427_74638622	Cluh (-10990), Ccdc92b (+18920)
chr11_74648884_74649594	Cluh (-276)
chr11_76658988_76659845	Abr (-149998), Bhlha9 (-13053)
chr11_76666098_76666663	Abr (-156962), Bhlha9 (-6089)
chr11_77093282_77093659	Nsrp1 (-15036), Efcab5 (+95497)
chr11_77093718_77093934	Nsrp1 (-15391), Efcab5 (+95142)
chr11_77467043_77467337	Coro6 (+4779), Ankrd13b (+22488)
chr11_79089114_79089341	Lgals9 (-104304), Ksr1 (+57179)
chr11_80476512_80476911	Cdk5r1 (-311)
chr11_81816523_81816863	Asic2 (-663372), 5530401A14Rik (-43986)
chr11_81816918_81817036	Asic2 (-663656), 5530401A14Rik (-43702)
chr11_84429771_84429840	Aatf (+83716), Acaca (+256684)
chr11_84707648_84708335	Lhx1 (-182457), Mrm1 (+111523)
chr11_84829018_84829144	Dhrs11 (-117)
chr11_88313728_88314111	Ccdc182 (+19862), Msi2 (+404181)
chr11_88439113_88439504	Ccdc182 (+145251), Msi2 (+278792)
chr11_88626035_88626516	Msi2 (+91825), Ccdc182 (+332218)
chr11_90417931_90418147	Hlf (-27144), Stxbp4 (+220045)
chr11_90553853_90554071	Hlf (-163067), Stxbp4 (+84122)
chr11_92925622_92926079	Car10 (-173439)
chr11_93601945_93602072	Utp18 (+283757), Car10 (+502719)
chr11_93995565_93996104	Spag9 (-268)
chr11_94311189_94311890	Wfikkn2 (-68833), Luc7l3 (+10448)
chr11_95075649_95075802	Pdk2 (-34372), Itga3 (+1075)
chr11_95106868_95107245	Itga3 (-30256), Dlx3 (-13062)
chr11_95210790_95211021	Dlx4 (-64643), Tac4 (-50623)
chr11_95224198_95224551	Dlx4 (-78112), Tac4 (-37154)
chr11_95514571_95514833	Nxph3 (-132)
chr11_95645640_95646246	Ngfr (-58208), Phb (-21014)
chr11_96006056_96006254	Igf2bp1 (-215)
chr11_96007099_96007294	Igf2bp1 (-1257)
chr11_96764697_96764932	Snx11 (+12716), Skap1 (+300222)
chr11_96884076_96884365	Cdk5rap3 (+32275), Copz2 (+34345)
chr11_97021142_97022373	Scrn2 (-8180), Sp6 (+3025)
chr11_97365646_97366111	Arhgap23 (-84281), Socs7 (+3328)
chr11_97400311_97400684	Arhgap23 (-49662), Socs7 (+37947)
chr11_97744627_97745370	Pip4k2b (-295)
chr11_98358265_98358665	Stard3 (+97)
chr11_98438993_98439060	Mien1 (-36)
chr11_98439139_98439271	Mien1 (-214)
chr11_98863549_98864138	Wipf2 (+206)
chr11_99138933_99139520	Tns4 (-49921), Ccr7 (+15850)
chr11_99493552_99493769	Krt23 (-524)
chr11_100206293_100206759	Krt9 (-13280), Krt14 (+1022)
chr11_101797999_101798393	Etv4 (-12825), Meox1 (+96178)
chr11_101964763_101965037	Meox1 (-70526), Sost (+2115)
chr11_102040143_102040551	Cd300lg (-1162)
chr11_102407520_102407657	Slc25a39 (-45)
chr11_102604070_102604723	Fzd2 (+1)
chr11_102818656_102818836	Higd1b (-17550), Gjc1 (-13845)
chr11_103132999_103133088	Hexim2 (-301)
chr11_103940624_103940975	Nsf (+13256), Wnt3 (+166650)
chr11_104105684_104106257	Crhr1 (-26884), Arf2 (+139100)
chr11_106612934_106613224	Tex2 (-149)
chr11_106720213_106720783	Milr1 (-30742), Pecam1 (-5104)
chr11_111070574_111070818	Kcnj2 (+4532)
chr11_112795446_112795531	Sox9 (+13265), Slc39a11 (+770270)
chr11_112795666_112795936	Sox9 (+13577), Slc39a11 (+769958)
chr11_113107800_113108320	Sox9 (+325836), Slc39a11 (+457699)
chr11_114195442_114195508	Rpl38 (-473134), Sdk2 (-129257)
chr11_114239369_114239718	Rpl38 (-429065), Sdk2 (-173326)
chr11_115336168_115336392	Otop3 (+1546), Hid1 (+31476)
chr11_116335055_116335832	Foxj1 (-45)
chr11_116404048_116404265	Foxj1 (-68758), Rnf157 (+8847)
chr11_116624306_116624482	Rhbdf2 (+2625), Aanat (+30707)
chr11_116669669_116670452	1810032O08Rik (-1608)
chr11_117101564_117101830	Sec14l1 (-13475), Mgat5b (+182834)
chr11_117280038_117280512	Gm11733 (-204093), Sept9 (+80614)
chr11_118584891_118585206	Engase (+108220), Rbfox3 (+324523)
chr11_119942984_119943149	Baiap2 (+304)
chr11_120098720_120098859	Ndufaf8 (-138), Tepsin (-59)
chr11_120187030_120188590	Bahcc1 (-45137), Slc38a10 (-36464)
chr11_120235890_120236076	Bahcc1 (+3036), Actg1 (+112559)
chr11_120236220_120236894	Bahcc1 (+3610), Actg1 (+111985)
chr11_120237033_120237185	Bahcc1 (+4162), Actg1 (+111433)
chr11_120237448_120238459	Bahcc1 (+5007), Actg1 (+110588)
chr11_120378522_120379023	Faap100 (-9)
chr11_120673054_120673373	Aspscr1 (+222)
chr11_121698388_121699142	Metrnl (-3646)
chr12_3806416_3806494	Dnmt3a (-575)
chr12_5506034_5506549	Klhl29 (-130610)
chr12_11266039_11266143	Gen1 (-325), Smc6 (+205)
chr12_12243187_12243446	Fam49a (-18822), Rad51ap2 (+787238)
chr12_12519185_12519254	Fam49a (+257081), Mycn (+422694)
chr12_12763607_12764030	Mycn (+178095), Fam49a (+501680)
chr12_13042977_13043418	Mycn (-101284), Ddx1 (+206015)
chr12_16307329_16307406	Trib2 (-490583), Lpin1 (+282402)
chr12_16615551_16616000	Ntsr2 (-37708), Lpin1 (-26006)
chr12_17238794_17239123	Kcnf1 (-62071), Pdia6 (-27586)
chr12_17472543_17472868	Odc1 (-72088), Nol10 (+124248)
chr12_17622617_17622973	Hpcal1 (-68061), Odc1 (+78001)
chr12_24425082_24425331	9030624G23Rik (-327961), Taf1b (-73152)
chr12_35389245_35389753	Ahr (+145539), Snx13 (+342313)
chr12_36247431_36248063	Sostdc1 (-66392), Lrrc72 (-29545)
chr12_38778473_38778543	Etv1 (-1574)
chr12_39614583_39614805	Arl4a (+422735), Etv1 (+834612)
chr12_42793278_42793980	NONE
chr12_42972644_42973611	NONE
chr12_46289172_46289238	Nova1 (+529724)
chr12_46635283_46635828	Nova1 (+183373)
chr12_47738609_47738750	Nova1 (-919751)
chr12_52380099_52380322	Arhgap5 (-123805), Nubpl (+282474)
chr12_55600277_55600554	Insm2 (+989)
chr12_59011739_59012209	Gemin2 (-1419), Sec23a (+43)
chr12_69216227_69216642	Dnaaf2 (-18006), Pole2 (+11760)
chr12_71429586_71430246	Daam1 (-401247), Dact1 (+119932)
chr12_71976877_71977178	Gpr135 (+94097), Daam1 (+145865)
chr12_72325095_72325281	Ccdc175 (-140159), Rtn1 (+83866)
chr12_72821076_72821576	Ppm1a (+60115), 4930447C04Rik (+96580)
chr12_73859861_73860559	Hif1a (-47694), Prkch (+275413)
chr12_76532104_76532381	Plekhg3 (-1137)
chr12_76881268_76881626	Fntb (+44033), Max (+80738)
chr12_79755576_79756066	Zfp36l1 (+357192), Rad51b (+458470)
chr12_79984083_79984373	Zfp36l1 (+128785), Rad51b (+686877)
chr12_80115215_80115936	Zfp36l1 (-2563)
chr12_81484744_81485008	Cox16 (+244)
chr12_83147563_83147910	Dpf3 (+339979), Rgs6 (+530792)
chr12_86196718_86196776	Gpatch2l (-45111), Ift43 (+114184)
chr12_86509615_86509670	Vash1 (-169057), Esrrb (+87999)
chr12_86509736_86510092	Vash1 (-168786), Esrrb (+88270)
chr12_86726325_86726768	Angel1 (-87)
chr12_86891367_86891954	Cipc (-55682), Irf2bpl (-6863)
chr12_87298345_87298630	Ism2 (+1217), Ahsa1 (+31790)
chr12_88579825_88580409	Nrxn3 (-214387), Adck1 (+219469)
chr12_88653872_88654056	Nrxn3 (-140540), Adck1 (+293316)
chr12_88899800_88899867	Nrxn3 (+105330)
chr12_91589656_91590259	Gtf2a1 (+51)
chr12_95275636_95275692	Flrt2 (-416562)
chr12_98745346_98745870	Zc3h14 (-1381)
chr12_102858421_102858724	Gm20604 (-99901), Btbd7 (+19833)
chr12_104468806_104469132	Gsc (+4361), Serpina3n (+62240)
chr12_106322371_106322729	Vrk1 (+291833)
chr12_107669127_107669531	3110018I06Rik (+180697), Bcl11b (+334273)
chr12_107686336_107686658	3110018I06Rik (+197865), Bcl11b (+317105)
chr12_107808032_107808106	Bcl11b (+195533), 3110018I06Rik (+319437)
chr12_108792624_108793033	Yy1 (-144)
chr12_110889022_110889188	Tecpr2 (-207), Cinp (+40)
chr12_111039173_111039459	Rcor1 (-482)
chr12_112172277_112172795	Kif26a (+26328), Tmem179 (+338636)
chr12_112217176_112217348	Kif26a (+71054), Tmem179 (+293910)
chr12_112885284_112885810	Gpr132 (-24595), Jag2 (+44229)
chr12_118848396_118849859	Sp8 (+2799), Abcb5 (+117293)
chr12_118850000_118850199	Sp8 (+3771), Abcb5 (+116321)
chr12_118850926_118851217	Sp8 (+4743), Abcb5 (+115349)
chr12_119372416_119372791	Itgb8 (-133802), Macc1 (-19979)
chr13_5000741_5000813	Klf6 (-860705), Akr1e1 (-391603)
chr13_8025027_8025093	Adarb2 (-177806)
chr13_9329197_9329906	Dip2c (+53024), Zmynd11 (+434936)
chr13_10131166_10131439	Zmynd11 (-366815), Chrm3 (+229541)
chr13_12258162_12258290	Mtr (-131)
chr13_12494728_12495085	Lgals8 (-33412), Edaradd (+25531)
chr13_17694554_17695073	Mplkip (-599), Sugct (-75)
chr13_21161164_21161611	Trim27 (-18057), Olfr1368 (-15521)
chr13_23318178_23318532	Zfp322a (+50853), Vmn1r223 (+69117)
chr13_23390782_23391359	Zfp322a (-21863), Abt1 (+32795)
chr13_24045175_24045608	Scgn (-54178), Carmil1 (+235403)
chr13_24173542_24174008	Scgn (-182561), Carmil1 (+107020)
chr13_24831390_24831478	Tdp2 (-245), Acot13 (+83)
chr13_26030274_26030752	Nrsn1 (-760431), Hdgfl1 (+739652)
chr13_26747206_26747694	Hdgfl1 (+22715)
chr13_28718860_28719169	Sox4 (+234698), Prl5a1 (+576531)
chr13_28951143_28951218	Sox4 (+2532), Prl5a1 (+808697)
chr13_28951284_28951445	Sox4 (+2348), Prl5a1 (+808881)
chr13_28958589_28958922	Sox4 (-5043), Cdkal1 (+896918)
chr13_29746610_29746909	Sox4 (-793047), Cdkal1 (+108914)
chr13_29947331_29947659	Cdkal1 (-91821), E2f3 (+38568)
chr13_35603608_35603845	Eci2 (-609583), Cdyl (-56106)
chr13_37543664_37543904	Rreb1 (-282531), Ly86 (+198576)
chr13_38037012_38037268	Cage1 (-217), Riok1 (+145)
chr13_39104783_39105273	Slc35b3 (-144153)
chr13_40441556_40441677	Ofcc1 (-153606), Tfap2a (+292206)
chr13_40642935_40643262	Ofcc1 (-355088), Tfap2a (+90724)
chr13_40717109_40717357	Ofcc1 (-429222), Tfap2a (+16590)
chr13_40729155_40729417	Ofcc1 (-441275), Tfap2a (+4537)
chr13_41220227_41220695	Elovl2 (-56)
chr13_41364309_41364393	Smim13 (+114507), Nedd9 (+122942)
chr13_41364462_41364588	Smim13 (+114681), Nedd9 (+122768)
chr13_42051645_42051881	Hivep1 (-258)
chr13_42488202_42488372	Phactr1 (-221294), Edn1 (+186811)
chr13_44615897_44616135	Jarid2 (-115255), Cd83 (+831241)
chr13_45141895_45142230	Mylip (-247679), Gm9817 (+63371)
chr13_49121310_49121729	Fam120a (-153503), Wnk2 (+26494)
chr13_51595491_51595610	Cks2 (-49681), Shc3 (-28467)
chr13_52978349_52978421	Auh (-48724), Nfil3 (+2688)
chr13_53286015_53286310	Ror2 (-39)
chr13_53472644_53473203	Msx2 (+150)
chr13_54520240_54520502	Simc1 (+16592), 4833439L19Rik (+45064)
chr13_54693854_54694534	Cdhr2 (-7267), Rnf44 (-6100)
chr13_54970821_54971166	Unc5a (+21583), Hk3 (+50391)
chr13_55100108_55100623	Zfp346 (-4961), Uimc1 (-71)
chr13_60601455_60601693	Dapk1 (-383)
chr13_61317188_61317416	Cts8 (-61944), Cts7 (+40894)
chr13_63693633_63694086	Ptch1 (-128125), Ercc6l2 (-121443)
chr13_70347856_70348348	Ice1 (+289532), Med10 (+538261)
chr13_71270628_71271072	8030423J24Rik (+387902), Irx1 (+692873)
chr13_72219259_72219826	Irx2 (-409277), Irx1 (-255820)
chr13_73070275_73070394	Irx4 (-190162), Irx2 (+441515)
chr13_73626729_73626999	Tert (-52)
chr13_74468101_74468162	Zfp72 (-77296), Zfp825 (+25838)
chr13_77419925_77419991	Fam172a (-288732), 2210408I21Rik (+284418)
