# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1_9827915_9828152	Mcmdc2 (-80604), Sgk3 (+29891)
chr10_84287158_84287940	Nuak1 (+153048), 1500009L16Rik (+564684)
chr10_86836857_86837177	Nt5dc3 (+58012), Stab2 (+171008)
chr10_89445985_89446567	Gas2l3 (-2309)
chr10_92009697_92010107	Tmpo (-838324), Nedd1 (+712518)
chr10_95672109_95672638	Nudt4 (-108228), Anapc15-ps (+1077)
chr10_97563386_97563544	Lum (-1663)
chr10_105238368_105238519	Tmtc2 (+335991)
chr10_111080118_111081147	Osbpl8 (-84119), Zdhhc17 (-70567)
chr10_111673869_111674190	Krr1 (-298634), Phlda1 (+167744)
chr10_111699603_111700188	Krr1 (-272768), Phlda1 (+193610)
chr10_117108618_117109054	Cct2 (-45022), Frs2 (+39674)
chr10_120544553_120545224	Hmga2 (-68420), Msrb3 (+354212)
chr10_122869466_122870388	Ppm1h (+191145), Mon2 (+206578)
chr10_126034869_126035096	Lrig3 (+68730), Atp23 (+866365)
chr10_129808922_129809159	Olfr811 (-4679)
chr11_5411624_5411884	Kremen1 (-150196), Znrf3 (+33093)
chr11_5416208_5417393	Kremen1 (-155243), Znrf3 (+28046)
chr11_6531678_6532022	Ccm2 (-15037), Myo1g (-10892)
chr11_18266053_18266525	Etaa1 (-312414), Meis1 (+752680)
chr11_19013189_19016384	Meis1 (+4182)
chr11_21431063_21431707	Ugp2 (-60908), Mdh1 (+140808)
chr11_22621828_22622075	Tmem17 (+109864), B3gnt2 (+238149)
chr11_30287951_30288604	Sptbn1 (-20109), 4930505A04Rik (+183530)
chr11_34231349_34232201	Fam196b (-83047), Foxi1 (-23686)
chr11_51808716_51808934	Sar1b (+45138), Jade2 (+48828)
chr11_52643827_52644735	Fstl4 (-120353), 9530068E07Rik (+247853)
chr11_53493620_53493859	Sept8 (-26030), Sowaha (-13466)
chr11_56011703_56012647	Glra1 (-404354), Nmur2 (+28835)
chr11_56871504_56872143	Nmur2 (-830814), Gria1 (-139986)
chr11_69399728_69400631	Cyb5d1 (-4847), Tmem88 (-1946)
chr11_69919322_69920053	Eif5a (+1698), Gps2 (+5800)
chr11_70233509_70233695	Bcl6b (-3863)
chr11_71512420_71513094	Nlrp1b (-311301), Wscd1 (-238619)
chr11_73188351_73189093	Ctns (+10320), Tax1bp3 (+11639)
chr11_75704155_75705086	Ywhae (-28248), Crk (+25362)
chr11_76382779_76383338	Glod4 (-139334), Nxn (+16081)
chr11_76658997_76659767	Abr (-149963), Bhlha9 (-13088)
chr11_76665836_76666657	Abr (-156828), Bhlha9 (-6223)
chr11_78829264_78829688	Nos2 (-91311), Lyrm9 (+2892)
chr11_81816407_81817001	Asic2 (-663383), 5530401A14Rik (-43975)
chr11_84073080_84073454	Dusp14 (-4466)
chr11_86412452_86413329	Rnft1 (-71766), Med13 (-55289)
chr11_87422538_87423866	Gm11492 (-143451), Tex14 (+18137)
chr11_87426616_87427277	Gm11492 (-139706), Tex14 (+21882)
chr11_88311287_88312313	Ccdc182 (+17742), Msi2 (+406301)
chr11_88626021_88626663	Msi2 (+91759), Ccdc182 (+332284)
chr11_89824093_89824711	Ankfn1 (-405454), Pctp (+178492)
chr11_94311189_94311819	Wfikkn2 (-68797), Luc7l3 (+10484)
chr11_95707509_95708212	Zfp652 (-4812)
chr11_96352608_96353722	Hoxb1 (-12587), Hoxb2 (+1534)
chr11_97021238_97022564	Scrn2 (-8037), Sp6 (+3168)
chr11_97365692_97366164	Arhgap23 (-84232), Socs7 (+3377)
chr11_99138735_99139664	Tns4 (-49894), Ccr7 (+15877)
chr11_100206147_100206767	Krt9 (-13211), Krt14 (+1091)
chr11_101658299_101659257	Arl4d (-6763), Rdm1 (+30836)
chr11_101797766_101798373	Etv4 (-12699), Meox1 (+96304)
chr11_101964638_101965429	Meox1 (-70660), Sost (+1981)
chr11_103116273_103117096	Hexim1 (+454)
chr11_103697567_103698192	Gosr2 (+18)
chr11_106720251_106721179	Milr1 (-30525), Pecam1 (-5321)
chr11_106844996_106845172	Cep95 (+55809), Smurf2 (+75386)
chr11_113041971_113042973	Sox9 (+260248), Slc39a11 (+523287)
chr11_113494011_113494255	Slc39a11 (+71626), Sox9 (+711909)
chr11_113613699_113614629	Slc39a11 (-48405), Sstr2 (-5178)
chr11_115781973_115783216	Tmem94 (+17162), Caskin2 (+31035)
chr11_116260170_116261023	Evpl (-22520), Srp68 (+13620)
chr11_116403669_116404708	Foxj1 (-68790), Rnf157 (+8815)
chr11_119820728_119821522	Chmp6 (-92685), Rptor (+217976)
chr11_120074796_120075392	Aatk (-28024), Cep131 (+11733)
chr11_120185421_120186196	Bahcc1 (-47138), Slc38a10 (-34463)
chr11_120186364_120189507	Bahcc1 (-45011), Slc38a10 (-36590)
chr11_120233701_120234326	Bahcc1 (+1067), Actg1 (+114528)
chr11_120234641_120239072	Bahcc1 (+3910), Actg1 (+111685)
chr11_120969916_120970845	Csnk1d (+20949), Slc16a3 (+21300)
chr11_121280663_121281425	Foxk2 (+21054), Wdr45b (+73401)
chr11_121698332_121699362	Metrnl (-3564)
chr11_121858493_121859979	Ptchd3 (+28989)
chr12_4805340_4805738	Sf3b6 (-12005), Pfn4 (+36200)
chr12_7453740_7454129	Apob (-523713)
chr12_12243101_12243490	Fam49a (-18843), Rad51ap2 (+787217)
chr12_16589553_16589895	Lpin1 (+46)
chr12_16590033_16592004	Lpin1 (-1249)
chr12_16615421_16616385	Ntsr2 (-37581), Lpin1 (-26133)
chr12_16845361_16845784	Rock2 (-49322), E2f6 (+34596)
chr12_18026635_18026928	5730507C01Rik (-487728), Hpcal1 (+335926)
chr12_18779208_18779368	5730507C01Rik (+264778)
chr12_20758160_20758346	Asap2 (-353495), Gm10479 (+342315)
chr12_23113864_23114139	Gm10330 (+666263)
chr12_36247585_36248175	Sostdc1 (-66259), Lrrc72 (-29678)
chr12_39614581_39614865	Arl4a (+422706), Etv1 (+834641)
chr12_46634834_46636423	Nova1 (+183300)
chr12_46950179_46950592	Nova1 (-131457)
chr12_59130751_59131381	Ctage5 (+1303), Fbxo33 (+88659)
chr12_71433679_71434262	Daam1 (-397192), Dact1 (+123987)
chr12_71976549_71977428	Gpr135 (+94136), Daam1 (+145826)
chr12_72408506_72409123	Rtn1 (+239)
chr12_72820736_72821397	Ppm1a (+59856), 4930447C04Rik (+96839)
chr12_73859357_73860555	Hif1a (-47948), Prkch (+275159)
chr12_75586784_75587428	Gphb5 (-170325), Ppp2r5e (+9094)
chr12_79755522_79756061	Zfp36l1 (+357221), Rad51b (+458441)
chr12_79756256_79756684	Zfp36l1 (+356543), Rad51b (+459119)
chr12_80115199_80116054	Zfp36l1 (-2614)
chr12_80565920_80566900	Galnt16 (+48133), Erh (+77422)
chr12_81278675_81278820	Slc8a3 (+54432), Smoc1 (+251940)
chr12_81459870_81460226	Adam4 (-38102), Cox16 (+25072)
chr12_86891023_86891919	Cipc (-55872), Irf2bpl (-6673)
chr12_87298202_87298732	Ism2 (+1238), Ahsa1 (+31769)
chr12_88579862_88580320	Nrxn3 (-214413), Adck1 (+219443)
chr12_98717642_98718402	Ptpn21 (+16623), Spata7 (+89865)
chr12_98745461_98745949	Zc3h14 (-1284)
chr12_99490568_99491362	Foxn3 (-97168), Efcab11 (+392477)
chr12_100522666_100523349	Ttc7b (-2182)
chr12_104426697_104427368	Serpina3n (+20304), Gsc (+46297)
chr12_112170739_112171035	Kif26a (+24679), Tmem179 (+340285)
chr12_112172080_112173081	Kif26a (+26373), Tmem179 (+338591)
chr12_112253453_112253927	Kif26a (+107482), Tmem179 (+257482)
chr12_112877453_112878626	Gpr132 (-17088), Jag2 (+51736)
chr12_112885063_112885829	Gpr132 (-24494), Jag2 (+44330)
chr12_118847345_118851129	Sp8 (+2908), Abcb5 (+117184)
chr13_9768622_9769157	Zmynd11 (-4402)
chr13_12384737_12385087	Actn2 (-44152), Heatr1 (-10459)
chr13_16825549_16825926	Inhba (+813887), Sugct (+869001)
chr13_22020918_22021663	Prss16 (-11550), Hist1h2ah (+14277)
chr13_23412313_23412968	Zfp322a (-43433), Abt1 (+11225)
chr13_24173336_24174346	Scgn (-182627), Carmil1 (+106954)
chr13_24770344_24770562	BC005537 (-31204), Gmnn (-8592)
chr13_28718434_28719229	Sox4 (+234881), Prl5a1 (+576348)
chr13_28719382_28719692	Sox4 (+234176), Prl5a1 (+577053)
chr13_29746371_29747240	Sox4 (-793093), Cdkal1 (+108868)
chr13_35603454_35603794	Eci2 (-609480), Cdyl (-56209)
chr13_37543473_37543997	Rreb1 (-282580), Ly86 (+198527)
chr13_39104732_39105302	Slc35b3 (-144142)
chr13_40717159_40717513	Ofcc1 (-429325), Tfap2a (+16487)
chr13_40727364_40730800	Ofcc1 (-441071), Tfap2a (+4741)
chr13_45141960_45142179	Mylip (-247672), Gm9817 (+63378)
chr13_49028834_49029307	Fam120a (-61054), Wnk2 (+118943)
chr13_49121368_49122035	Fam120a (-153685), Wnk2 (+26312)
chr13_51854164_51854621	Gadd45g (+7715), Diras2 (+676886)
chr13_52342865_52343599	Diras2 (+188047), Gadd45g (+496554)
chr13_52738388_52738799	Syk (+155421), Auh (+191067)
chr13_53195912_53196807	Nfil3 (-215287), Ror2 (+89764)
chr13_53230420_53231396	Nfil3 (-249835), Ror2 (+55216)
chr13_53471407_53472168	Sptlc1 (-94391), Msx2 (+1286)
chr13_53472662_53473247	Msx2 (+119)
chr13_53519628_53520377	Msx2 (-46929), Drd1 (+535655)
chr13_53520621_53521014	Msx2 (-47744), Drd1 (+534840)
chr13_61585057_61585402	Zfp808 (-544686), Cts3 (-15103)
chr13_63240159_63240699	Fbp1 (-352147), Fancc (+191296)
chr13_63563733_63564766	Fancc (-132525), Ptch1 (+1485)
chr13_63566316_63566849	Ptch1 (-848)
chr13_65340541_65340698	Gm10139 (-172058), Zfp369 (+61806)
chr13_66294075_66294202	Gm10772 (-66566), 2410141K09Rik (+146939)
chr13_66301981_66302205	Gm10772 (-74520), 2410141K09Rik (+138985)
chr13_66431431_66432205	Gm10772 (-204245), 2410141K09Rik (+9260)
chr13_66588693_66589408	Gm10767 (-315863), 2410141K09Rik (-147973)
chr13_66727181_66727363	2410141K09Rik (-286194), Gm10767 (-177642)
chr13_66799435_66799781	2410141K09Rik (-358530), Gm10767 (-105306)
chr13_68094291_68094684	BC048507 (+231162), Mtrr (+487616)
chr13_69770884_69771496	Med10 (-38651), Ube2ql1 (-31301)
chr13_70347759_70348489	Ice1 (+289510), Med10 (+538283)
chr13_72219259_72219994	Irx2 (-409193), Irx1 (-255904)
chr13_72710867_72711903	Irx4 (-549112), Irx2 (+82565)
chr13_75992211_75992760	Spata9 (+24747), Rfesd (+26076)
chr13_77217104_77217884	Fam172a (-491196), 2210408I21Rik (+81954)
chr13_77419926_77420621	Fam172a (-288416), 2210408I21Rik (+284734)
chr13_89540217_89541144	Hapln1 (+885)
chr13_92644958_92645811	Serinc5 (+34294), Thbs4 (+149433)
chr13_95565038_95566141	F2rl1 (-40363), F2r (+52897)
chr13_97341287_97342394	Enc1 (+100736), Gm10260 (+418791)
chr13_97607184_97607399	Gm10260 (+153340), Enc1 (+366187)
chr13_98214102_98214526	Arhgef28 (-8147), Utp15 (+48727)
chr13_98523739_98524307	Gm10320 (-32022), Tmem174 (+113387)
chr13_98912531_98913632	Fcho2 (-97633), Tnpo1 (+13302)
chr13_102141839_102143048	Cd180 (-551114), Pik3r1 (-374227)
chr13_102486100_102486522	Pik3r1 (-718094), Cd180 (-207247)
chr13_111874198_111874654	Ankrd55 (-414394), Map3k1 (-65433)
chr13_111980188_111980631	Ankrd55 (-308410), Map3k1 (-171417)
chr13_113722551_113723885	Arl15 (-71287), Hspb3 (-59542)
chr14_13739842_13740490	Sntn (+69290), Gm281 (+174312)
chr14_13968315_13968833	Atxn7 (-43917), Thoc7 (-7297)
chr14_14064623_14065034	Atxn7 (+52338), Psmd6 (+56155)
chr14_21983737_21986878	Comtd1 (-136331), Zfp503 (+4293)
chr14_21991209_21991649	Zfp503 (-1828)
chr14_22102148_22102514	Lrmda (+82619)
chr14_27684364_27684807	Wnt5a (-820164), Erc2 (+62144)
chr14_28465862_28466584	Wnt5a (-38527), Erc2 (+843781)
chr14_29202911_29203439	Lrtm1 (+184967), Cacna2d3 (+518689)
chr14_31772186_31772508	Ankrd28 (+58068), Btd (+131290)
chr14_46387358_46388080	Bmp4 (+2950), Gm15217 (+8252)
chr14_46604231_46604780	Bmp4 (-213837), Cdkn3 (-156035)
chr14_46661413_46662327	Bmp4 (-271201), Cdkn3 (-98671)
chr14_47364964_47365622	Lgals3 (-8520), Mapk1ip1l (+56728)
chr14_48118929_48119614	Peli2 (-1597)
chr14_48167684_48168518	Tmem260 (-278281), Peli2 (+47232)
chr14_51771546_51772144	Gm5800 (-54662), Ang4 (+1745)
chr14_55799079_55799290	Nfatc4 (-25610), Ripk3 (-10328)
chr14_57386712_57387670	Gjb6 (-253580), Cryl1 (+11338)
chr14_60868288_60869234	Mipep (+84188), Tnfrsf19 (+177708)
chr14_60873005_60873687	Mipep (+88773), Tnfrsf19 (+173123)
chr14_70352034_70353522	Slc39a14 (-1353)
chr14_70580681_70580934	Nudt18 (+2961), Fam160b2 (+19027)
chr14_72924755_72925330	Fndc3a (-215040), Cysltr2 (+124071)
chr14_73187542_73187803	Lpar6 (-50222), Rcbtb2 (+45136)
chr14_73355419_73356067	Rb1 (-29921), Itm2b (+29528)
chr14_78086033_78087200	Fam216b (+2390), Epsti1 (+182378)
chr14_85953388_85953560	NONE
chr14_96351328_96351479	Klhl1 (+167698), 4921530L21Rik (+470138)
chr14_100683895_100684286	Klf12 (-534327), Prr30 (+516239)
chr14_101787784_101788257	Lmo7 (+58064)
chr14_103467669_103468299	Mycbp2 (-121184), Scel (-45357)
chr14_103939786_103940481	Ednrb (-96438), Pou4f1 (+527865)
chr14_105416855_105417593	Gm10076 (-264604), Ndfip2 (+158651)
chr14_112366124_112366707	Tpm3-rs7 (-948192), Slitrk5 (+691301)
chr14_117048879_117049544	Gpc6 (+123681)
chr14_118021292_118022519	Dct (+30340)
chr14_118861008_118862016	Cldn10 (+6780), Dzip1 (+61655)
chr14_119952856_119953468	Oxgr1 (+89273), Hs6st3 (+814747)
chr14_122726896_122727769	Ggact (+185829), Pcca (+192994)
chr14_122942690_122943526	Ggact (-29946), Tmtc4 (+40175)
chr14_124668357_124668485	Fgf14 (+8706)
chr15_4100872_4101377	Plcxd3 (-274379), Oxct1 (+74742)
chr15_10692551_10692993	Ttc23l (-134104), Rai14 (+20768)
chr15_22700361_22700557	Cdh18 (-336004)
chr15_25680897_25681394	Retreg1 (-162118), Myo10 (+58621)
chr15_27797400_27797894	Fam105a (-116105), Trio (+228201)
chr15_31326764_31327178	Ankrd33b (+40755), Dap (+102657)
chr15_37198059_37198528	Zfp706 (-190892), Grhl2 (-34742)
chr15_39126973_39127198	Rims2 (-71277), Dcaf13 (+14221)
chr15_43388502_43389118	Eif3e (-106074), Emc2 (-88419)
chr15_50963626_50963985	Trps1 (-74757), Eif3h (+901675)
chr15_59066178_59067140	Mtss1 (+15367), Ndufb9 (+132849)
chr15_59413247_59413916	Trib1 (-234768), Nsmce2 (+39384)
chr15_59414039_59414285	Trib1 (-234188), Nsmce2 (+39964)
chr15_62314386_62315145	Myc (+329375)
chr15_62465242_62466106	Myc (+480283)
chr15_64202861_64203517	Fam49b (-142741), Asap1 (+179730)
chr15_80096711_80097081	Tab1 (-36258), Syngr1 (+5552)
chr15_80097212_80097334	Tab1 (-35881), Syngr1 (+5929)
chr15_81350541_81350736	Slc25a17 (+10126), Mchr1 (+115140)
chr15_83398497_83399192	Arfgap3 (-48598), Pacsin2 (+34005)
chr15_83639807_83641200	Ttll12 (-45347), Scube1 (+84517)
chr15_83804754_83805153	Mpped1 (+20125), Efcab6 (+260395)
chr15_84978535_84979183	5031439G07Rik (+9112), Nup50 (+55431)
chr15_85890308_85890476	Trmu (+11072), Celsr1 (+143385)
chr15_86166952_86167370	Cerk (+18980), Gramd4 (+109466)
chr15_86873734_86874127	Fam19a5 (-751299), Tbc1d22a (+659472)
chr15_86952694_86953279	Fam19a5 (-672243), Tbc1d22a (+738528)
chr15_89174182_89175604	Plxnb2 (-4205)
chr15_93630906_93631656	Prickle1 (-111758), Adamts20 (+772977)
chr15_101770295_101771194	Krt74 (-7241), Krt72 (+15713)
chr15_102458850_102459258	Prr13 (-178)
chr15_102982607_102983365	Hoxc8 (-7621), Hoxc9 (+5954)
chr15_103005688_103006149	Hoxc6 (-3654)
chr15_103294302_103294458	Gpr84 (+16058), Copz1 (+21469)
chr15_103546326_103546579	Ppp1r1a (-8461), Glycam1 (+18625)
chr16_5254419_5255117	Eef2kmt (+1215), Alg1 (+21147)
chr16_8502419_8502744	Abat (-10847), Mettl22 (+31794)
chr16_11915796_11916230	Shisa9 (-68568), Cpped1 (-6590)
chr16_21284771_21285980	Vps8 (-137825), Ephb3 (+80621)
chr16_23162433_23162572	St6gal1 (-62237), Adipoq (+15967)
chr16_25058618_25059300	Tprg (-227858), Lpp (+665609)
chr16_25690575_25691220	Trp63 (+7133), P3h2 (+414886)
chr16_25794750_25794906	Trp63 (+111063), P3h2 (+310956)
chr16_28292918_28293051	Fgf12 (+152242), Ccdc50 (+904116)
chr16_29644125_29644309	Hes1 (-421123), Opa1 (+64837)
chr16_29667340_29667668	Hes1 (-397836), Opa1 (+88124)
chr16_29688534_29689833	Hes1 (-376156), Opa1 (+109804)
chr16_30066210_30067176	Hes1 (+1353), Cpn2 (+200839)
chr16_37962282_37962696	Gsk3b (-127799), Gpr156 (+45993)
chr16_44564330_44564989	Nepro (-159641), Boc (-5763)
chr16_57550636_57551197	Cmss1 (+55908), Filip1l (+197824)
chr16_73245207_73245555	Robo1 (+582232)
chr16_76805182_76805860	Nrip1 (-431694), Usp25 (-208548)
chr16_76912124_76912722	Nrip1 (-538596), Usp25 (-101646)
chr16_77005248_77005920	Nrip1 (-631757), Usp25 (-8485)
chr16_90741795_90743054	Mrap (+4101), Urb1 (+67967)
chr16_91840568_91841329	Atp5o (+90738), Itsn1 (+111596)
chr16_94718566_94719556	Dyrk1a (+149051), Kcnj6 (+278635)
chr16_94785693_94786012	Kcnj6 (+211843), Dyrk1a (+215843)
chr16_97686461_97687334	Tmprss2 (-75703), Ripk4 (+76839)
chr17_8508353_8509051	Gm17087 (+58167), T (+74279)
chr17_14074483_14074854	Gm7356 (-72904), Dact2 (+129162)
chr17_15259149_15259970	Dll1 (+116416), Ermard (+217919)
chr17_27200325_27201091	Ip6k3 (-32944), Lemd2 (+3730)
chr17_28028244_28028753	Tcp11 (+52085), Anks1 (+119127)
chr17_28179489_28180457	Def6 (-27805), Zfp523 (+2555)
chr17_28247192_28248228	Fance (-65934), Ppard (+14956)
chr17_31705221_31705999	Cryaa (+27677), Sik1 (+150182)
chr17_35076056_35076989	Ly6g6d (-2023), Ly6g6e (-414)
chr17_35836387_35836777	Mdc1 (-4933), Tubb5 (+1724)
chr17_38001967_38002108	Olfr761 (-48959), Olfr129 (+58041)
chr17_44965847_44966423	Runx2 (-151338), Cdc5l (+467572)
chr17_46003245_46003924	1600014C23Rik (-269741), Vegfa (+28784)
chr17_46607336_46608758	Srf (-51885), Ptk7 (+21457)
chr17_47952464_47952829	Foxp4 (-28212), 1700122O11Rik (+85646)
chr17_69540565_69540728	Dlgap1 (-884147), Akain1 (+101321)
chr17_73047817_73048526	Lclat1 (-59822), Lbh (+129867)
chr17_81400473_81401049	Thumpd2 (-335676), Gm11096 (-41002)
chr17_83181872_83182487	Pkdcc (-33112), Gm6594 (+642922)
chr17_83920344_83920701	Haao (-73733), Zfp36l2 (+267424)
chr17_84184827_84185319	Haao (-338283), Zfp36l2 (+2874)
chr17_84185496_84186847	Haao (-339382), Zfp36l2 (+1775)
chr17_85070442_85071129	Prepl (+19481), Slc3a1 (+42439)
chr17_87532148_87533518	Epcam (-103146), Calm2 (-85898)
chr17_90638781_90639559	Gm10184 (-728721), Gm10308 (-449323)
chr18_3508294_3509423	Bambi (+902)
chr18_3566289_3567461	Lyzl1 (-598957), Bambi (+58918)
chr18_3653912_3654258	Lyzl1 (-511747), Bambi (+146128)
chr18_3866682_3866977	Lyzl1 (-299002), Bambi (+358873)
chr18_3867122_3868439	Lyzl1 (-298051), Bambi (+359824)
chr18_14103246_14103408	Gm5160 (-321541), Zfp521 (-130594)
chr18_15084359_15085913	Kctd1 (-21554), Aqp4 (+318548)
chr18_18828917_18829230	NONE
chr18_20317487_20317732	Dsg1b (-59119), Dsg1a (+6799)
chr18_20624235_20624629	Ttr (-40818), Dsg2 (+66358)
chr18_33154150_33154858	Stard4 (+59358), Camk4 (+215463)
chr18_33932404_33933071	Epb41l4a (+74468), Gm10549 (+468575)
chr18_35402908_35403814	Lrrtm2 (-188337), Sil1 (+95564)
chr18_35966112_35966624	Psd2 (+1538), Nrg2 (+231012)
chr18_36121808_36122222	Nrg2 (+75365), Psd2 (+157185)
chr18_37821240_37821851	Pcdhgc5 (+2033), Diaph1 (+113835)
chr18_39738365_39739228	Nr3c1 (-248123), Pabpc2 (-34700)
chr18_43984762_43985133	Spink14 (-42921), Spink5 (+21713)
chr18_44317479_44317847	Myot (-16411), Npy6r (+47536)
chr18_54906747_54907206	Zfp608 (+83203)
chr18_55231161_55231483	Zfp608 (-241142)
chr18_55763993_55765075	Zfp608 (-774354), Gramd3 (-667598)
chr18_56678579_56679151	Lmnb1 (-28948), Tex43 (+90515)
chr18_62923194_62924691	Napg (-53893), Apcdd1 (+1616)
chr18_65559481_65560577	Zfp532 (-20201), Malt1 (+129066)
chr18_66213820_66214460	Lman1 (-211503), Ccbe1 (+77698)
chr18_67483759_67484239	Prelid3a (+19150), Spire1 (+68722)
chr18_69170651_69171317	4930546C10Rik (-220843), Tcf4 (-173505)
chr18_69344028_69345481	Tcf4 (+266)
chr18_73533387_73533537	Mex3c (-39582)
chr18_75170882_75171432	Smad7 (-196372), Dym (+152385)
chr18_75410060_75411130	Smad7 (+43066), Ctif (+287101)
chr18_77871630_77872427	Epg5 (-66438), Pstpip2 (+77484)
chr18_81054014_81054728	Sall3 (-67793)
chr18_81085635_81086120	Sall3 (-99300)
chr19_3159337_3160606	Mrpl21 (-122929)
chr19_7421912_7423664	2700081O15Rik (+5163), Rtn3 (+60501)
chr19_9079246_9080120	Scgb1a1 (+8275), Ahnak (+90399)
chr19_13138001_13138238	Olfr1458 (-31345), Olfr1459 (+11412)
chr19_14693252_14693590	Tle4 (-95438)
chr19_16135080_16135454	Gna14 (-300400), Gnaq (+2436)
chr19_17199408_17200049	Gcnt1 (+156938), Prune2 (+243611)
chr19_18099706_18099893	Pcsk5 (-262168), Ostf1 (+531989)
