# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_70233509_70233695	Bcl6b (-3863)
chrY_5876544_5876957	Gm21778 (-65709), Gm28171 (+83356)
chr7_41189610_41189811	Gm5592 (-94616), Gm4884 (+156992)
chrY_5915807_5915998	Gm21778 (-26557), Gm28171 (+122508)
chrY_5919560_5919816	Gm21778 (-22772), Gm28171 (+126293)
chrY_5933374_5933597	Gm21778 (-8974), Gm28171 (+140091)
chrY_5937116_5937514	Gm21778 (-5145), Gm28171 (+143920)
chr6_43420912_43421066	Nobox (-111435), Tpk1 (+245289)
chrY_5962099_5962260	Gm20873 (-304918), Gm21778 (+19720)
chrY_5979018_5979212	Gm20873 (-287983), Gm21778 (+36655)
chrY_6003709_6003974	Gm20873 (-263256), Gm21778 (+61382)
chrY_6004935_6005236	Gm20873 (-262012), Gm21778 (+62626)
chrY_6024394_6024695	Gm20873 (-242553), Gm21778 (+82085)
chr5_31988722_31988873	Fosl2 (-147003), Babam2 (+290748)
chrY_6028609_6028868	Gm20873 (-238359), Gm21778 (+86279)
chrY_6067861_6068266	Gm20873 (-199034), Gm21778 (+125604)
chrY_6109372_6109563	Gm20873 (-157630), Gm21778 (+167008)
chrY_6113207_6113633	Gm20873 (-153678), Gm21778 (+170960)
chr6_51162861_51163057	Npvf (-508520), Nfe2l3 (-269711)
chrY_6162657_6162884	Gm20873 (-104327), Gm21778 (+220311)
chrY_6237235_6237772	Gm20873 (-29594), Gm21778 (+295044)
chrY_6246466_6246704	Gm20873 (-20513), Gm21778 (+304125)
chrY_6326847_6327080	Gm28919 (-256582), Gm20873 (+59866)
chrY_6392774_6392984	Gm28919 (-190667), Gm20873 (+125781)
chr5_47558667_47559059	Slit2 (-424291)
chr4_8117884_8118086	Car8 (+121056)
chrY_6857146_6857473	Gm21719 (-174438), Gm20830 (+60972)
chrY_8999768_9000082	Gm20815 (-164756), Gm21292 (+132636)
chr8_124827575_124827840	Gnpat (-35325), Trim67 (+34616)
chrY_9059528_9059720	Gm20815 (-224455), Gm21292 (+72937)
chr6_60830285_60830625	Snca (-1451)
chrY_9059854_9060003	Gm20815 (-224760), Gm21292 (+72632)
chrY_9098267_9098505	Gm20815 (-263217), Gm21292 (+34175)
chrY_9099492_9100132	Gm20815 (-264643), Gm21292 (+32749)
chr7_75278872_75279114	Slco3a1 (-724379), Sv2b (+30269)
chr5_75309625_75309885	Kit (-265200), Pdgfra (+153856)
chrY_9117453_9117633	Gm20815 (-282374), Gm21292 (+15018)
chrY_9131730_9131915	Gm21292 (+738)
chr4_22422498_22422728	Fbxl4 (+65070), Pou3f2 (+65753)
chrY_9180317_9180448	Gm21292 (-47822), Gm21721 (+21807)
chrY_9189764_9189988	Gm21292 (-57315), Gm21721 (+12314)
chrY_9197423_9197885	Gm21292 (-65093), Gm21721 (+4536)
chrX_13373071_13373741	Nyx (-92704), Ddx3x (+92436)
chrY_9290079_9290252	Gm21721 (-87976), Gm21812 (+57018)
chr6_71688922_71689378	Kdm3a (-56464), Reep1 (-18411)
chrX_15007613_15007953	H2al1n (+796635)
chrY_9290664_9290821	Gm21721 (-88553), Gm21812 (+56441)
chrX_15008345_15008677	H2al1n (+797363)
chrY_9329924_9330411	Gm21721 (-127978), Gm21812 (+17016)
chrY_9401855_9402114	Gm21812 (-54801), Gm21874 (+14163)
chrX_17853805_17854008	Dusp21 (-291950), Fundc1 (-281582)
chrY_9495970_9496316	Gm20821 (-285661), Gm21874 (-79995)
chrY_9500425_9500598	Gm20821 (-281292), Gm21874 (-84364)
chrX_110864195_110864371	Cylc1 (-246175), Pou3f4 (+50003)
chr4_41921366_41921821	Fam205a4 (-44464), Gm21541 (+17984)
chrY_9588052_9588261	Gm20821 (-193647), Gm21874 (-172009)
chrX_111693881_111693946	Rps6ka6 (-207132), Hdx (+3165)
chrY_10015037_10015477	Gm21310 (+131926), Gm20821 (+233453)
chr4_42132667_42133140	Gm13306 (-21136), Gm13304 (+18087)
chrY_10229404_10229609	Gm21310 (-82324), Gm20834 (+95082)
chr4_42630042_42630322	Gm2564 (+463)
chrX_123480403_123480729	Srsx (-258085), Cldn34c2 (-101134)
chrY_10348541_10348758	Gm28510 (-64087), Gm20834 (-24061)
chrX_124391107_124391513	Vmn2r121 (-255400)
chrX_125716392_125716627	NONE
chrY_10366364_10366721	Gm28510 (-46194), Gm20834 (-41954)
chrX_126022875_126023037	4932411N23Rik (+792912)
chrY_10367885_10368050	Gm28510 (-44769), Gm20834 (-43379)
chrY_10386074_10386255	Gm20834 (-61576), Gm28510 (-26572)
chrX_140696994_140697559	Mid2 (+19249), Tex13b (+116156)
chrY_10397833_10398372	Gm20834 (-73514), Gm28510 (-14634)
chr6_86372003_86372198	Snrpg (+797)
chrY_10434438_10434744	Gm28510 (+21854), Gm20737 (+101451)
chrY_10479394_10479664	Gm20737 (+56513), Gm28510 (+66792)
chrY_10511371_10511696	Gm20737 (+24508), Gm28510 (+98797)
chr9_4260380_4260526	Aasdhppt (+49014), Gucy1a2 (+727675)
chrY_10519052_10519245	Gm20737 (+16893), Gm28510 (+106412)
chrY_10614702_10614963	Gm20737 (-78791), Gm20777 (+137617)
chr4_70594592_70594739	Megf9 (-59738)
chr10_5852433_5852593	Mtrf1l (-28603), Rgs17 (+69887)
chr9_32435829_32435993	Kcnj1 (+41926), Fli1 (+105684)
chr10_51744361_51744519	Vgll2 (-278062), Rfx6 (+66684)
chr8_21856616_21856807	Defb10 (-2189)
chr9_61954715_61954953	Kif23 (-8060), Paqr5 (+72022)
chr6_135406530_135406679	Emp1 (+44060), Grin2b (+766520)
chr6_148170028_148170251	Ergic2 (+42234), Far2 (+122881)
chr9_79154403_79154510	Cd109 (+538911), Col12a1 (+564061)
chr10_97563386_97563544	Lum (-1663)
chr10_105238368_105238519	Tmtc2 (+335991)
chr9_95143996_95144208	Chst2 (+262620), Slc9a9 (+474193)
chr10_126034869_126035096	Lrig3 (+68730), Atp23 (+866365)
chr10_129808922_129809159	Olfr811 (-4679)

