# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	20356	Lrrc1	24	9.374881e-5	1.000000e+0	8.357316e-2	3.554371e+1	8.440313e-2	3	1.052408e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr9_77427179_77427873,chr9_77463740_77464405,chr9_77537783_77538814	Lrrc1
Ensembl Genes	5031	Gm10772	25	1.400964e-4	1.000000e+0	1.198945e-1	3.099379e+1	9.679358e-2	3	1.206903e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr13_66294075_66294202,chr13_66301981_66302205,chr13_66431431_66432205	Gm10772
Ensembl Genes	8758	Lyzl1	26	1.436336e-4	1.000000e+0	1.181939e-1	1.566397e+1	2.553632e-1	4	3.184079e-4	4.987531e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr18_3566289_3567461,chr18_3653912_3654258,chr18_3866682_3866977,chr18_3867122_3868439	Lyzl1
Ensembl Genes	4469	Jag2	27	2.550553e-4	1.000000e+0	2.021077e-1	8.782976e+1	2.277133e-2	2	2.839317e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr12_112877453_112878626,chr12_112885063_112885829	Jag2
Ensembl Genes	4455	Kif26a	28	2.748217e-4	1.000000e+0	2.099932e-1	2.460535e+1	1.219247e-1	3	1.520258e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr12_112170739_112171035,chr12_112172080_112173081,chr12_112253453_112253927	Kif26a
Ensembl Genes	19491	Gse1	29	2.815168e-4	1.000000e+0	2.076914e-1	2.440261e+1	1.229377e-1	3	1.532888e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr8_120335551_120336220,chr8_120449635_120450542,chr8_120549898_120550308	Gse1
Ensembl Genes	11696	Bmp7	30	3.103478e-4	1.000000e+0	2.213297e-1	2.359776e+1	1.271307e-1	3	1.585171e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr2_172623672_172624157,chr2_172788941_172790019,chr2_172855552_172856470	Bmp7
Ensembl Genes	4457	Tmem179	31	3.480352e-4	1.000000e+0	2.402004e-1	2.268450e+1	1.322489e-1	3	1.648989e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr12_112170739_112171035,chr12_112172080_112173081,chr12_112253453_112253927	Tmem179
Ensembl Genes	4468	Gpr132	32	4.005614e-4	1.000000e+0	2.678128e-1	6.994966e+1	2.859199e-2	2	3.565086e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr12_112877453_112878626,chr12_112885063_112885829	Gpr132
Ensembl Genes	5034	Gm10767	33	4.045561e-4	1.000000e+0	2.622872e-1	2.153709e+1	1.392946e-1	3	1.736840e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr13_66588693_66589408,chr13_66727181_66727363,chr13_66799435_66799781	Gm10767
Ensembl Genes	13577	Ccdc30	34	4.059173e-4	1.000000e+0	2.554294e-1	6.948221e+1	2.878435e-2	2	3.589071e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr4_119408339_119408854,chr4_119415302_119415837	Ccdc30
Ensembl Genes	11695	Tfap2c	35	4.117038e-4	1.000000e+0	2.516687e-1	2.140725e+1	1.401394e-1	3	1.747375e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr2_172623672_172624157,chr2_172788941_172790019,chr2_172855552_172856470	Tfap2c
Ensembl Genes	11541	Snhg11	36	4.267875e-4	1.000000e+0	2.536422e-1	6.774547e+1	2.952227e-2	2	3.681081e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr2_158401703_158401910,chr2_158402066_158402734	Snhg11
Ensembl Genes	20355	Mlip	37	4.950738e-4	1.000000e+0	2.862731e-1	2.008515e+1	1.493640e-1	3	1.862395e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr9_77427179_77427873,chr9_77463740_77464405,chr9_77537783_77538814	Mlip
Ensembl Genes	14952	Msi1	38	5.161657e-4	1.000000e+0	2.906149e-1	6.154076e+1	3.249879e-2	2	4.052218e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr5_115394235_115394782,chr5_115438043_115438886	Msi1
Ensembl Genes	7290	Opa1	39	5.573750e-4	1.000000e+0	3.057702e-1	1.927720e+1	1.556243e-1	3	1.940452e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr16_29644125_29644309,chr16_29667340_29667668,chr16_29688534_29689833	Opa1
Ensembl Genes	12146	Glt28d2	40	5.919092e-4	1.000000e+0	3.165974e-1	5.742412e+1	3.482857e-2	2	4.342714e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr3_85931675_85932031,chr3_85969739_85970372	Glt28d2
Ensembl Genes	1146	Eprs	41	5.967633e-4	1.000000e+0	3.114086e-1	5.718737e+1	3.497276e-2	2	4.360693e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr1_185363101_185363928,chr1_185364113_185364289	Eprs
Ensembl Genes	12699	Lef1	42	6.290499e-4	1.000000e+0	3.204410e-1	1.848483e+1	1.622952e-1	3	2.023631e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr3_131107045_131107467,chr3_131177548_131178523,chr3_131244276_131244734	Lef1
Ensembl Genes	11542	Ralgapb	43	6.544991e-4	1.000000e+0	3.256514e-1	5.457651e+1	3.664580e-2	2	4.569302e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr2_158401703_158401910,chr2_158402066_158402734	Ralgapb
Ensembl Genes	1491	Slc29a3	44	7.440617e-4	1.000000e+0	3.618000e-1	5.114484e+1	3.910463e-2	2	4.875889e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr10_60793427_60794990,chr10_60813548_60814597	Slc29a3
Ensembl Genes	17775	Arrb1	45	8.411003e-4	1.000000e+0	3.998965e-1	4.806420e+1	4.161101e-2	2	5.188406e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr7_99534063_99534627,chr7_99534793_99535006	Arrb1
Ensembl Genes	16018	Abtb1	46	9.787261e-4	1.000000e+0	4.552140e-1	4.450785e+1	4.493590e-2	2	5.602980e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr6_88730403_88731008,chr6_88788196_88788416	Abtb1
Ensembl Genes	5458	Atxn7	47	1.049683e-3	1.000000e+0	4.778291e-1	4.295405e+1	4.656138e-2	2	5.805659e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr14_13968315_13968833,chr14_14064623_14065034	Atxn7
Ensembl Genes	3021	Bhlha9	48	1.141386e-3	1.000000e+0	5.087490e-1	4.116479e+1	4.858521e-2	2	6.058006e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr11_76658997_76659767,chr11_76665836_76666657	Bhlha9
Ensembl Genes	7292	Hes1	49	1.277556e-3	1.000000e+0	5.578227e-1	1.443338e+1	2.078515e-1	3	2.591665e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr16_29644125_29644309,chr16_29667340_29667668,chr16_29688534_29689833	Hes1
Ensembl Genes	13400	Acot11	50	1.303323e-3	1.000000e+0	5.576919e-1	3.847943e+1	5.197583e-2	2	6.480776e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr4_106816047_106816653,chr4_106848718_106848955	Acot11
Ensembl Genes	12147	Prss48	51	1.330588e-3	1.000000e+0	5.581947e-1	3.807621e+1	5.252624e-2	2	6.549406e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr3_85931675_85932031,chr3_85969739_85970372	Prss48
Ensembl Genes	10021	Upf2	52	1.475105e-3	1.000000e+0	6.069206e-1	3.612909e+1	5.535705e-2	2	6.902376e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr2_5975022_5975494,chr2_6074845_6075635	Upf2
Ensembl Genes	15867	Reep1	53	1.513072e-3	1.000000e+0	6.107958e-1	3.566441e+1	5.607831e-2	2	6.992308e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr6_71688922_71689378,chr6_71785267_71785693	Reep1
Ensembl Genes	20282	Usp3	54	1.577375e-3	1.000000e+0	6.249618e-1	3.491601e+1	5.728031e-2	2	7.142183e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr9_66611815_66612170,chr9_66628355_66628977	Usp3
Ensembl Genes	12700	Hadh	55	1.604690e-3	1.000000e+0	6.242244e-1	3.461180e+1	5.778377e-2	2	7.204959e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr3_131177548_131178523,chr3_131244276_131244734	Hadh
Ensembl Genes	1127	Ccdc185	56	1.656727e-3	1.000000e+0	6.329585e-1	3.405321e+1	5.873161e-2	2	7.323144e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr1_182679523_182679847,chr1_182686121_182687072	Ccdc185
Ensembl Genes	17799	Fam168a	57	1.676035e-3	1.000000e+0	6.291012e-1	3.385259e+1	5.907967e-2	2	7.366543e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr7_100677008_100678596,chr7_100720521_100721135	Fam168a
Ensembl Genes	13767	Wasf2	58	1.732430e-3	1.000000e+0	6.390576e-1	3.328597e+1	6.008538e-2	2	7.491942e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr4_133042243_133042565,chr4_133125106_133126249	Wasf2
Ensembl Genes	16017	Mgll	59	1.909589e-3	1.000000e+0	6.924688e-1	3.167227e+1	6.314672e-2	2	7.873655e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr6_88730403_88731008,chr6_88788196_88788416	Mgll
Ensembl Genes	4851	Wnk2	60	1.927730e-3	1.000000e+0	6.873964e-1	3.151971e+1	6.345237e-2	2	7.911766e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr13_49028834_49029307,chr13_49121368_49122035	Wnk2
Ensembl Genes	858	Angptl1	61	2.016036e-3	1.000000e+0	7.070998e-1	3.080670e+1	6.492094e-2	2	8.094880e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr1_156780750_156780979,chr1_156915928_156916486	Angptl1
Ensembl Genes	15141	Gtf2i	62	2.142168e-3	1.000000e+0	7.392207e-1	2.986578e+1	6.696627e-2	2	8.349909e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr5_134255161_134255557,chr5_134378866_134379022	Gtf2i
Ensembl Genes	3646	Slc39a11	63	2.197953e-3	1.000000e+0	7.464318e-1	1.191589e+1	2.517647e-1	3	3.139211e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr11_113041971_113042973,chr11_113494011_113494255,chr11_113613699_113614629	Slc39a11
Ensembl Genes	1126	Capn8	64	2.229976e-3	1.000000e+0	7.454740e-1	2.925842e+1	6.835639e-2	2	8.523240e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr1_182679523_182679847,chr1_182686121_182687072	Capn8
Ensembl Genes	18780	Thap1	65	2.326832e-3	1.000000e+0	7.658857e-1	1.167689e+1	2.569178e-1	3	3.203463e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr8_26238733_26239507,chr8_26833333_26834364,chr8_26881216_26881761	Thap1
Ensembl Genes	18781	Zfp703	66	2.416784e-3	1.000000e+0	7.834408e-1	1.152029e+1	2.604102e-1	3	3.247009e-4	3.740648e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr8_26238733_26239507,chr8_26833333_26834364,chr8_26881216_26881761	Zfp703
Ensembl Genes	2265	Znrf3	67	2.704674e-3	1.000000e+0	8.636791e-1	2.650477e+1	7.545811e-2	2	9.408742e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr11_5411624_5411884,chr11_5416208_5417393	Znrf3
Ensembl Genes	13401	Ssbp3	68	2.766174e-3	1.000000e+0	8.703278e-1	2.620090e+1	7.633326e-2	2	9.517862e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr4_106816047_106816653,chr4_106848718_106848955	Ssbp3
Ensembl Genes	16052	Fbln2	69	2.781389e-3	1.000000e+0	8.624321e-1	2.612728e+1	7.654833e-2	2	9.544680e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr6_91323314_91324229,chr6_91324366_91325813	Fbln2
Ensembl Genes	16053	Wnt7a	70	2.836336e-3	1.000000e+0	8.669058e-1	2.586637e+1	7.732048e-2	2	9.640958e-5	2.493766e-3	1	5.641505e-2	1.000000e+0	1.000000e+0	1.772577e+1	5.641505e-2	1	1	8.285004e-4	1.000000e+0	chr6_91323314_91324229,chr6_91324366_91325813	Wnt7a
